city_a,city_b,contribution_type,rank,element_id,contribution,prevalence_a,prevalence_b
BuenosAires,Bogota,difference,4,F053,0.009702491854599395,0.0312621102203482,0.021559618365748805
BuenosAires,Bogota,difference,5,F013,0.009538336413035968,0.0432148478677241,0.05275318428076007
BuenosAires,Paris,similarity,1,F054,0.21437259746672313,0.09505097655222126,0.0737108924715471
BuenosAires,Paris,similarity,2,F028,0.0860469017938786,0.047003203875908416,0.05983106846557239
BuenosAires,Paris,similarity,3,F036,0.07362208272198464,0.04180428129679628,0.057558082899030735
BuenosAires,Paris,similarity,4,F013,0.06403289579460297,0.0432148478677241,0.048427175166009126
BuenosAires,Paris,similarity,5,F058,0.06402206165124175,0.05098691817119127,0.041038348513629794
BuenosAires,Paris,difference,1,F054,0.02134008408067417,0.09505097655222126,0.0737108924715471
BuenosAires,Paris,difference,2,F046,0.017527206171750964,0.02600178932243367,0.008474583150682707
BuenosAires,Paris,difference,3,F053,0.016124838127740272,0.0312621102203482,0.015137272092607927
BuenosAires,Paris,difference,4,F036,0.015753801602234455,0.04180428129679628,0.057558082899030735
BuenosAires,Paris,difference,5,F028,0.012827864589663972,0.047003203875908416,0.05983106846557239
BuenosAires,Mumbai,similarity,1,F054,0.19246311156466975,0.09505097655222126,0.06520510963912503
BuenosAires,Mumbai,similarity,2,F021,0.07992448982769439,0.04567556490440202,0.056349057362761135
BuenosAires,Mumbai,similarity,3,F036,0.07533263466984853,0.04180428129679628,0.05803007142410183
BuenosAires,Mumbai,similarity,4,F058,0.06508095515442551,0.05098691817119127,0.041104168342764175
BuenosAires,Mumbai,similarity,5,F013,0.06335563332296064,0.0432148478677241,0.04721097374560863
BuenosAires,Mumbai,difference,1,F054,0.029845866913096236,0.09505097655222126,0.06520510963912503
BuenosAires,Mumbai,difference,2,F009,0.02243337230412191,0.025321623531025288,0.0028882512269033764
BuenosAires,Mumbai,difference,3,F036,0.016225790127305552,0.04180428129679628,0.05803007142410183
BuenosAires,Mumbai,difference,4,F022,0.013766484171671565,0.027276003782774342,0.04104248795444591
BuenosAires,Mumbai,difference,5,F046,0.011292357586533004,0.02600178932243367,0.014709431735900667
BuenosAires,NewDelhi,similarity,1,F054,0.18696219388353794,0.09505097655222126,0.06379913871914546
BuenosAires,NewDelhi,similarity,2,F021,0.08547259661388829,0.04567556490440202,0.06069607027721833
BuenosAires,NewDelhi,similarity,3,F036,0.0781435544936854,0.04180428129679628,0.06063034004440442
BuenosAires,NewDelhi,similarity,4,F028,0.0612608629237042,0.047003203875908416,0.04227399110536771
BuenosAires,NewDelhi,similarity,5,F058,0.058288254101455085,0.05098691817119127,0.03708001388497467
BuenosAires,NewDelhi,difference,1,F054,0.03125183783307581,0.09505097655222126,0.06379913871914546
BuenosAires,NewDelhi,difference,2,F009,0.021419481670576158,0.025321623531025288,0.003902141860449131
BuenosAires,NewDelhi,difference,3,F010,0.019631939243762594,0.03174891117656721,0.051380850420329804
BuenosAires,NewDelhi,difference,4,F036,0.018826058747608142,0.04180428129679628,0.06063034004440442
BuenosAires,NewDelhi,difference,5,F022,0.015461965436573886,0.027276003782774342,0.04273796921934823
BuenosAires,Jakarta,similarity,1,F054,0.15075367660836944,0.09505097655222126,0.05014602378900961
BuenosAires,Jakarta,similarity,2,F021,0.08169025740202092,0.04567556490440202,0.056547252722660306
BuenosAires,Jakarta,similarity,3,F036,0.05909143238265199,0.04180428129679628,0.04469191138506002
BuenosAires,Jakarta,similarity,4,F013,0.05449250083075632,0.0432148478677241,0.0398684107464557
BuenosAires,Jakarta,similarity,5,F028,0.053589925754456764,0.047003203875908416,0.03604797444943357
BuenosAires,Jakarta,difference,1,F054,0.04490495276321165,0.09505097655222126,0.05014602378900961
BuenosAires,Jakarta,difference,2,F058,0.025649353051934512,0.05098691817119127,0.025337565119256757
BuenosAires,Jakarta,difference,3,F009,0.020460957560242833,0.025321623531025288,0.0048606659707824545
BuenosAires,Jakarta,difference,4,F057,0.01807706216745341,0.02564815095374713,0.04372521312120054
BuenosAires,Jakarta,difference,5,F007,0.014660355671210594,0.03215597405641947,0.046816329727630064
BuenosAires,Osaka,similarity,1,F054,0.19553438477909418,0.09505097655222126,0.06737702137464677
BuenosAires,Osaka,similarity,2,F028,0.07513513267005238,0.047003203875908416,0.052355323499950396
BuenosAires,Osaka,similarity,3,F013,0.07343496911186116,0.0432148478677241,0.055656408713712864
BuenosAires,Osaka,similarity,4,F036,0.06725400527931442,0.04180428129679628,0.052691752567421826
BuenosAires,Osaka,similarity,5,F021,0.06488019884254745,0.04567556490440202,0.04652361964073696
BuenosAires,Osaka,difference,1,F054,0.027673955177574497,0.09505097655222126,0.06737702137464677
BuenosAires,Osaka,difference,2,F058,0.024419022705022993,0.05098691817119127,0.026567895466168275
BuenosAires,Osaka,difference,3,F010,0.024098714058253076,0.03174891117656721,0.055847625234820286
BuenosAires,Osaka,difference,4,F009,0.019600729245759042,0.025321623531025288,0.005720894285266247
BuenosAires,Osaka,difference,5,F044,0.01694208834906288,0.008490909061913427,0.025432997410976307
BuenosAires,KualaLumpur,similarity,1,F054,0.15124294338630406,0.09505097655222126,0.052915726139950374
BuenosAires,KualaLumpur,similarity,2,F036,0.08335050653988782,0.04180428129679628,0.06630613364731328
BuenosAires,KualaLumpur,similarity,3,F013,0.06876403824328613,0.0432148478677241,0.05291692596141694
BuenosAires,KualaLumpur,similarity,4,F058,0.06874359902183817,0.05098691817119127,0.044837328205563014
BuenosAires,KualaLumpur,similarity,5,F021,0.061185369209343414,0.04567556490440202,0.04454817123212066
BuenosAires,KualaLumpur,difference,1,F054,0.04213525041227089,0.09505097655222126,0.052915726139950374
BuenosAires,KualaLumpur,difference,2,F057,0.035566340329949854,0.02564815095374713,0.061214491283696985
BuenosAires,KualaLumpur,difference,3,F036,0.024501852350516995,0.04180428129679628,0.06630613364731328
BuenosAires,KualaLumpur,difference,4,F009,0.018479841588178385,0.025321623531025288,0.006841781942846905
BuenosAires,KualaLumpur,difference,5,F029,0.01635677005103947,0.025766561997151757,0.04212333204819123
BuenosAires,MexicoCity,similarity,1,F054,0.2866967833458449,0.09505097655222126,0.10427915680378734
BuenosAires,MexicoCity,similarity,2,F058,0.0699621041679236,0.05098691817119127,0.04743898343036274
BuenosAires,MexicoCity,similarity,3,F021,0.057430601859715456,0.04567556490440202,0.04347010747872817
BuenosAires,MexicoCity,similarity,4,F028,0.05435146595557104,0.047003203875908416,0.03997744865971467
BuenosAires,MexicoCity,similarity,5,F036,0.05406906180662442,0.04180428129679628,0.04471562919838782
BuenosAires,MexicoCity,difference,1,F057,0.016546446320899404,0.02564815095374713,0.042194597274646535
BuenosAires,MexicoCity,difference,2,F009,0.015255888773172303,0.025321623531025288,0.010065734757852985
BuenosAires,MexicoCity,difference,3,F008,0.01338171733989758,0.029214037728868214,0.015832320388970634
BuenosAires,MexicoCity,difference,4,F022,0.011853370537486679,0.027276003782774342,0.03912937432026102
BuenosAires,MexicoCity,difference,5,F001,0.010425449686631113,0.02132275900123275,0.03174820868786386
BuenosAires,Amsterdam,similarity,1,F054,0.11039141827884112,0.09505097655222126,0.03701613567335313
BuenosAires,Amsterdam,similarity,2,F013,0.08465111225007857,0.0432148478677241,0.062432687292814114
BuenosAires,Amsterdam,similarity,3,F028,0.08272130577875525,0.047003203875908416,0.05609217339914841
BuenosAires,Amsterdam,similarity,4,F036,0.07328841598638645,0.04180428129679628,0.055876207591985284
BuenosAires,Amsterdam,similarity,5,F058,0.05540186965795385,0.05098691817119127,0.03463203463203463
BuenosAires,Amsterdam,difference,1,F054,0.058034840878868135,0.09505097655222126,0.03701613567335313
BuenosAires,Amsterdam,difference,2,F057,0.03159530185106338,0.02564815095374713,0.05724345280481051
BuenosAires,Amsterdam,difference,3,F033,0.023572003990888005,0.01551942180326065,0.039091425794148656
BuenosAires,Amsterdam,difference,4,F013,0.019217839425090012,0.0432148478677241,0.062432687292814114
BuenosAires,Amsterdam,difference,5,F046,0.018969377497034152,0.02600178932243367,0.007032411825399517
BuenosAires,Lagos,similarity,1,F054,0.15203218953082387,0.09505097655222126,0.052179343785252796
BuenosAires,Lagos,similarity,2,F058,0.08686261562106977,0.05098691817119127,0.055576831863398624
BuenosAires,Lagos,similarity,3,F036,0.056222401744520645,0.04180428129679628,0.04387410586093734
BuenosAires,Lagos,similarity,4,F007,0.05473474902958527,0.03215597405641947,0.05552916047072095
BuenosAires,Lagos,similarity,5,F057,0.05321905740310409,0.02564815095374713,0.0676909740026664
BuenosAires,Lagos,difference,1,F054,0.04287163276696847,0.09505097655222126,0.052179343785252796
BuenosAires,Lagos,difference,2,F057,0.042042823048919264,0.02564815095374713,0.0676909740026664
BuenosAires,Lagos,difference,3,F007,0.02337318641430148,0.03215597405641947,0.05552916047072095
BuenosAires,Lagos,difference,4,F033,0.02278153771371197,0.01551942180326065,0.03830095951697262
BuenosAires,Lagos,difference,5,F001,0.022214842911391596,0.02132275900123275,0.043537601912624346
BuenosAires,Lima,similarity,1,F054,0.2573535845268652,0.09505097655222126,0.09163525897471782
BuenosAires,Lima,similarity,2,F058,0.09423893675663711,0.05098691817119127,0.06255479254837427
BuenosAires,Lima,similarity,3,F028,0.06269892880872484,0.047003203875908416,0.04514624483039846
BuenosAires,Lima,similarity,4,F013,0.04984105065919757,0.0432148478677241,0.039034010388265025
BuenosAires,Lima,similarity,5,F021,0.04694463955682594,0.04567556490440202,0.03478492366442912
BuenosAires,Lima,difference,1,F008,0.016114898806333013,0.029214037728868214,0.0130991389225352
BuenosAires,Lima,difference,2,F022,0.015710308737031404,0.027276003782774342,0.042986312519805746
BuenosAires,Lima,difference,3,F045,0.012352892219401251,0.031152869055725754,0.018799976836324502
BuenosAires,Lima,difference,4,F033,0.012163985444717756,0.01551942180326065,0.027683407247978405
BuenosAires,Lima,difference,5,F058,0.011567874377183006,0.05098691817119127,0.06255479254837427
BuenosAires,Manila,similarity,1,F054,0.2066661245454092,0.09505097655222126,0.06999071266322775
BuenosAires,Manila,similarity,2,F021,0.07236467759961979,0.04567556490440202,0.051000027174651484
BuenosAires,Manila,similarity,3,F013,0.0592374423131939,0.0432148478677241,0.04412563960337797
BuenosAires,Manila,similarity,4,F036,0.05798530250502777,0.04180428129679628,0.04465035015337693
BuenosAires,Manila,similarity,5,F028,0.0570471287972418,0.047003203875908416,0.03906915629101174
BuenosAires,Manila,difference,1,F054,0.025060263888993517,0.09505097655222126,0.06999071266322775
BuenosAires,Manila,difference,2,F009,0.01829178096816792,0.025321623531025288,0.007029842562857366
BuenosAires,Manila,difference,3,F058,0.01609826230937917,0.05098691817119127,0.0348886558618121
BuenosAires,Manila,difference,4,F008,0.015669871726914836,0.029214037728868214,0.013544166001953378
BuenosAires,Manila,difference,5,F057,0.01367197123627402,0.02564815095374713,0.03932012219002115
BuenosAires,Moscow,similarity,1,F054,0.17820457935286368,0.09505097655222126,0.06573236686968596
BuenosAires,Moscow,similarity,2,F021,0.08572788313129981,0.04567556490440202,0.06580443524816346
BuenosAires,Moscow,similarity,3,F036,0.08512680364015915,0.04180428129679628,0.0713941387588544
BuenosAires,Moscow,similarity,4,F013,0.0792029995664552,0.0432148478677241,0.06425776777006023
BuenosAires,Moscow,similarity,5,F028,0.0722434925652783,0.047003203875908416,0.05388752848702849
BuenosAires,Moscow,difference,1,F057,0.03195690472307904,0.02564815095374713,0.057605055676826174
BuenosAires,Moscow,difference,2,F036,0.029589857462058125,0.04180428129679628,0.0713941387588544
BuenosAires,Moscow,difference,3,F054,0.0293186096825353,0.09505097655222126,0.06573236686968596
BuenosAires,Moscow,difference,4,F013,0.02104291990233613,0.0432148478677241,0.06425776777006023
BuenosAires,Moscow,difference,5,F021,0.020128870343761436,0.04567556490440202,0.06580443524816346
BuenosAires,Singapore,similarity,1,F054,0.1435125358433202,0.09505097655222126,0.050809985692881365
BuenosAires,Singapore,similarity,2,F013,0.08508772568844776,0.0432148478677241,0.06625974260061251
BuenosAires,Singapore,similarity,3,F036,0.08000532258226992,0.04180428129679628,0.06440416242200689
BuenosAires,Singapore,similarity,4,F058,0.07826811335253944,0.05098691817119127,0.05165851531054816
BuenosAires,Singapore,similarity,5,F021,0.0611170462814728,0.04567556490440202,0.04502920164990529
BuenosAires,Singapore,difference,1,F054,0.0442409908593399,0.09505097655222126,0.050809985692881365
BuenosAires,Singapore,difference,2,F013,0.023044894732888413,0.0432148478677241,0.06625974260061251
BuenosAires,Singapore,difference,3,F036,0.022599881125210608,0.04180428129679628,0.06440416242200689
BuenosAires,Singapore,difference,4,F027,0.021940296824794973,0.020279784962355656,0.04222008178715063
BuenosAires,Singapore,difference,5,F009,0.017724688376551858,0.025321623531025288,0.007596935154473429
BuenosAires,CapeTown,similarity,1,F054,0.2749377188394106,0.09505097655222126,0.10025778059225571
BuenosAires,CapeTown,similarity,2,F058,0.09428078363861254,0.05098691817119127,0.06409213897124436
BuenosAires,CapeTown,similarity,3,F013,0.054071885303482864,0.0432148478677241,0.0433689460739632
BuenosAires,CapeTown,similarity,4,F021,0.04767950594269472,0.04567556490440202,0.03618163297288826
BuenosAires,CapeTown,similarity,5,F036,0.047117758209247,0.04180428129679628,0.03906647285148192
BuenosAires,CapeTown,difference,1,F001,0.021329774508645104,0.02132275900123275,0.042652533509877855
BuenosAires,CapeTown,difference,2,F052,0.017166706117957804,0.025798058537316624,0.04296476465527443
BuenosAires,CapeTown,difference,3,F029,0.014167041909855335,0.025766561997151757,0.03993360390700709
BuenosAires,CapeTown,difference,4,F028,0.01380835564982908,0.047003203875908416,0.033194848226079335
BuenosAires,CapeTown,difference,5,F046,0.013333040581752631,0.02600178932243367,0.01266874874068104
BuenosAires,Johannesburg,similarity,1,F054,0.2270537381491402,0.09505097655222126,0.08180661391881502
BuenosAires,Johannesburg,similarity,2,F058,0.1039517922375348,0.05098691817119127,0.06982156238747288
BuenosAires,Johannesburg,similarity,3,F036,0.05770177692828635,0.04180428129679628,0.047269909394372915
BuenosAires,Johannesburg,similarity,4,F013,0.05444431279346379,0.0432148478677241,0.04314553670776847
BuenosAires,Johannesburg,similarity,5,F021,0.05355473946658956,0.04567556490440202,0.04015413986290749
BuenosAires,Johannesburg,difference,1,F057,0.02960854876953751,0.02564815095374713,0.05525669972328464
BuenosAires,Johannesburg,difference,2,F001,0.020199548538855295,0.02132275900123275,0.041522307540088045
BuenosAires,Johannesburg,difference,3,F058,0.01883464421628161,0.05098691817119127,0.06982156238747288
BuenosAires,Johannesburg,difference,4,F028,0.016066556446311876,0.047003203875908416,0.03093664742959654
BuenosAires,Johannesburg,difference,5,F046,0.015136737531569496,0.02600178932243367,0.010865051790864175
BuenosAires,Seoul,similarity,1,F054,0.1897630887008362,0.09505097655222126,0.06558961390396727
BuenosAires,Seoul,similarity,2,F036,0.08541125422916622,0.04180428129679628,0.0671234476426719
BuenosAires,Seoul,similarity,3,F028,0.06846697747803662,0.047003203875908416,0.047855693184929854
BuenosAires,Seoul,similarity,4,F013,0.06819842880048328,0.0432148478677241,0.051846721324678255
BuenosAires,Seoul,similarity,5,F021,0.06378757679970437,0.04567556490440202,0.04588091748143614
BuenosAires,Seoul,difference,1,F054,0.029461362648253997,0.09505097655222126,0.06558961390396727
BuenosAires,Seoul,difference,2,F036,0.025319166345875624,0.04180428129679628,0.0671234476426719
BuenosAires,Seoul,difference,3,F009,0.01668157714151447,0.025321623531025288,0.008640046389510816
BuenosAires,Seoul,difference,4,F027,0.016359069474446687,0.020279784962355656,0.03663885443680234
BuenosAires,Seoul,difference,5,F010,0.015158052082295925,0.03174891117656721,0.046906963258863135
BuenosAires,Taipei,similarity,1,F054,0.18131039528374535,0.09505097655222126,0.061693948412698416
BuenosAires,Taipei,similarity,2,F036,0.08629648118962348,0.04180428129679628,0.06676498724489796
BuenosAires,Taipei,similarity,3,F013,0.07011049640184695,0.0432148478677241,0.052471864692846835
BuenosAires,Taipei,similarity,4,F021,0.06476344932420179,0.04567556490440202,0.045858779117707686
BuenosAires,Taipei,similarity,5,F028,0.062136925578950876,0.047003203875908416,0.042756164965986394
BuenosAires,Taipei,difference,1,F054,0.03335702813952285,0.09505097655222126,0.061693948412698416
BuenosAires,Taipei,difference,2,F036,0.02496070594810168,0.04180428129679628,0.06676498724489796
BuenosAires,Taipei,difference,3,F027,0.02045964054269485,0.020279784962355656,0.040739425505050504
BuenosAires,Taipei,difference,4,F046,0.015832333282441914,0.02600178932243367,0.010169456039991755
BuenosAires,Taipei,difference,5,F009,0.015771804550402738,0.025321623531025288,0.009549818980622552
BuenosAires,Bangkok,similarity,1,F054,0.20683801203262334,0.09505097655222126,0.0702694158558432
BuenosAires,Bangkok,similarity,2,F013,0.07282814796175825,0.0432148478677241,0.05442003902171102
BuenosAires,Bangkok,similarity,3,F021,0.06704895791080483,0.04567556490440202,0.047402437739295374
BuenosAires,Bangkok,similarity,4,F058,0.059809881579362935,0.05098691817119127,0.03787971924804971
BuenosAires,Bangkok,similarity,5,F036,0.0577711781490868,0.04180428129679628,0.04462549375876152
BuenosAires,Bangkok,difference,1,F054,0.02478156069637806,0.09505097655222126,0.0702694158558432
BuenosAires,Bangkok,difference,2,F009,0.019944961835209423,0.025321623531025288,0.005376661695815864
BuenosAires,Bangkok,difference,3,F057,0.014911516818854005,0.02564815095374713,0.040559667772601136
BuenosAires,Bangkok,difference,4,F008,0.0149070083923331,0.029214037728868214,0.014307029336535115
BuenosAires,Bangkok,difference,5,F028,0.014807897338334854,0.047003203875908416,0.03219530653757356
BuenosAires,Istanbul,similarity,1,F054,0.2197710616584618,0.09505097655222126,0.07599687387549478
BuenosAires,Istanbul,similarity,2,F028,0.086670239611427,0.047003203875908416,0.06060721675320002
BuenosAires,Istanbul,similarity,3,F058,0.0638650976653567,0.05098691817119127,0.04117054567418907
BuenosAires,Istanbul,similarity,4,F036,0.06213147598042651,0.04180428129679628,0.04885091631110883
BuenosAires,Istanbul,similarity,5,F013,0.0595686317992547,0.0432148478677241,0.04530711843931527
BuenosAires,Istanbul,difference,1,F010,0.023196823414498434,0.03174891117656721,0.054945734591065644
BuenosAires,Istanbul,difference,2,F054,0.019054102676726484,0.09505097655222126,0.07599687387549478
BuenosAires,Istanbul,difference,3,F035,0.015349590778819307,0.01537389981389133,0.030723490592710637
BuenosAires,Istanbul,difference,4,F046,0.014425811324181474,0.02600178932243367,0.011575977998252197
BuenosAires,Istanbul,difference,5,F009,0.01397576749339613,0.025321623531025288,0.011345856037629158
BuenosAires,London,similarity,1,F054,0.18766599018767582,0.09505097655222126,0.06475888252960843
BuenosAires,London,similarity,2,F036,0.08077443071444598,0.04180428129679628,0.06337580649078355
BuenosAires,London,similarity,3,F028,0.0792636702368207,0.047003203875908416,0.05531170818188442
BuenosAires,London,similarity,4,F013,0.06521127540287787,0.0432148478677241,0.049494855459042
BuenosAires,London,similarity,5,F058,0.05649408090276217,0.05098691817119127,0.036342478284451425
BuenosAires,London,difference,1,F054,0.030292094022612834,0.09505097655222126,0.06475888252960843
BuenosAires,London,difference,2,F057,0.029816962501392957,0.02564815095374713,0.05546511345514009
BuenosAires,London,difference,3,F036,0.021571525193987265,0.04180428129679628,0.06337580649078355
BuenosAires,London,difference,4,F046,0.018863384575370228,0.02600178932243367,0.0071384047470634425
BuenosAires,London,difference,5,F053,0.01814049505305955,0.0312621102203482,0.013121615167288653
BuenosAires,LosAngeles,similarity,1,F054,0.2717635928497935,0.09505097655222126,0.10383494498326765
BuenosAires,LosAngeles,similarity,2,F058,0.09658945135665221,0.05098691817119127,0.06879862863826157
BuenosAires,LosAngeles,similarity,3,F036,0.08613250228551256,0.04180428129679628,0.07482645108740182
BuenosAires,LosAngeles,similarity,4,F013,0.053564650030449,0.0432148478677241,0.045014675948313675
BuenosAires,LosAngeles,similarity,5,F028,0.041923278121819584,0.047003203875908416,0.03239191449231822
BuenosAires,LosAngeles,difference,1,F036,0.03302216979060554,0.04180428129679628,0.07482645108740182
BuenosAires,LosAngeles,difference,2,F058,0.0178117104670703,0.05098691817119127,0.06879862863826157
BuenosAires,LosAngeles,difference,3,F001,0.015313291939650569,0.02132275900123275,0.03663605094088332
BuenosAires,LosAngeles,difference,4,F028,0.014611289383590194,0.047003203875908416,0.03239191449231822
BuenosAires,LosAngeles,difference,5,F021,0.014107013686386671,0.04567556490440202,0.03156855121801535
BuenosAires,NewYorkCity,similarity,1,F054,0.21515709118277518,0.09505097655222126,0.07815830785755598
BuenosAires,NewYorkCity,similarity,2,F036,0.10690432577032219,0.04180428129679628,0.08829794265884491
BuenosAires,NewYorkCity,similarity,3,F013,0.06544580716270747,0.0432148478677241,0.05229075435842353
BuenosAires,NewYorkCity,similarity,4,F058,0.062368853913994673,0.05098691817119127,0.04223622242419235
BuenosAires,NewYorkCity,similarity,5,F028,0.05461365769895104,0.047003203875908416,0.04011897876559531
BuenosAires,NewYorkCity,difference,1,F036,0.04649366136204863,0.04180428129679628,0.08829794265884491
BuenosAires,NewYorkCity,difference,2,F054,0.016892668694665283,0.09505097655222126,0.07815830785755598
BuenosAires,NewYorkCity,difference,3,F009,0.014809353845823272,0.025321623531025288,0.010512269685202016
BuenosAires,NewYorkCity,difference,4,F046,0.01328758623229073,0.02600178932243367,0.01271420309014294
