,D000,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071,D072,D073,D074,D075,D076,D077,D078,D079,D080,D081,D082,D083,D084,D085,D086,D087,D088,D089,D090,D091,D092,D093,D094,D095,D096,D097,D098,D099,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D130,D131,D132,D133,D134,D135,D136,D137,D138,D139,D140,D141,D142,D143,D144,D145,D146,D147,D148,D149,D150,D151,D152,D153,D154,D155,D156,D157,D158,D159,D160,D161,D162,D163,D164,D165,D166,D167,D168,D169,D170,D171,D172,D173,D174,D175,D176,D177,D178,D179,D180,D181,D182,D183,D184,D185,D186,D187,D188,D189,D190,D191,D192,D193,D194,D195,D196,D197,D198,D199,D200,D201,D202,D203,D204,D205,D206,D207,D208,D209,D210,D211,D212,D213,D214,D215,D216,D217,D218,D219,D220,D221,D222,D223,D224,D225,D226,D227,D228,D229,D230,D231,D232,D233,D234,D235,D236,D237,D238,D239,D240,D241,D242,D243,D244,D245,D246,D247,D248,D249,D250,D251,D252,D253,D254,D255,D256,D257,D258,D259,D260,D261,D262,D263,D264,D265,D266,D267,D268,D269,D270,D271,D272,D273,D274,D275,D276,D277,D278,D279,D280,D281,D282,D283,D284,D285,D286,D287,D288,D289,D290,D291,D292,D293,D294,D295,D296,D297,D298,D299,D300,D301,D302,D303,D304,D305,D306,D307,D308,D309,D310,D311,D312,D313,D314,D315,D316,D317,D318,D319,D320,D321,D322,D323,D324,D325,D326,D327,D328,D329,D330,D331,D332,D333,D334,D335,D336,D337,D338,D339,D340,D341,D342,D343,D344,D345,D346,D347,D348,D349,D350,D351,D352,D353,D354,D355,D356,D357,D358,D359,D360,D361,D362,D363,D364,D365,D366,D367,D368,D369,D370,D371,D372,D373,D374,D375,D376,D377,D378,D379,D380,D381,D382,D383,D384,D385,D386,D387,D388,D389,D390,D391,D392,D393,D394,D395,D396,D397,D398,D399,D400,D401,D402,D403,D404,D405,D406,D407,D408,D409,D410,D411,D412,D413,D414,D415,D416,D417,D418,D419,D420,D421,D422,D423,D424,D425,D426,D427,D428,D429,D430,D431,D432,D433,D434,D435,D436,D437,D438,D439,D440,D441,D442,D443,D444,D445,D446,D447,D448,D449,D450,D451,D452,D453,D454,D455,D456,D457,D458,D459,D460,D461,D462,D463,D464,D465,D466,D467,D468,D469,D470,D471,D472,D473,D474,D475,D476,D477,D478,D479,D480,D481,D482,D483,D484,D485,D486,D487,D488,D489,D490,D491,D492,D493,D494,D495,D496,D497,D498,D499,D500,D501,D502,D503,D504,D505,D506,D507,D508,D509,D510,D511
D111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D112,3,0,206,18,0,349,1,19,0,11,6,1164,0,0,1,893,33,0,0,25,204,51,0,0,0,391,0,16,1,13,0,1098,0,2,1,18,1,0,8,0,0,4,435,0,22,32,0,11,195,131,185,0,121,19,0,64,30,71,1,0,27,145,0,1,0,0,3,308,7,21,0,0,0,3,15,2,0,37,14,0,15,6,66,4,28,2,0,0,0,1024,256,0,58,47,0,0,10,0,468,0,6,405,1,11,122,3387,1559,0,0,10,7,0,4721,956,213,125,0,4,0,614,0,0,18,4,523,1,10,10,82,0,61,547,197,2,0,0,21,2,740,21,73,626,66,468,153,0,5,30,284,8,27,7,0,0,250,18,8,218,1,66,0,189,0,2123,651,4,0,812,1234,1,5,1086,21,6,17,316,4,53,657,251,386,281,51,41,22,5,1815,0,8,2,143,7,12,4,3,20,1,2,0,9,0,1,21,36,0,0,2,64,18,49,42,0,449,467,2,11,166,21,12,3,1,96,0,69,42,0,1,0,0,0,0,2,8,198,0,17,828,2,0,0,6,1,0,0,0,499,25,12,5,0,124,39,429,0,0,2,10,6,0,0,0,3,2,5,11,11,440,509,10,133,367,3,23,0,110,0,0,0,285,169,0,15,8,0,397,3,1,24,1,348,53,0,181,516,27,271,0,0,81,4,92,2,0,19,2,124,12,5,49,0,4,18,5,137,2,117,223,218,164,86,0,9,25,0,4,797,40,0,15,2222,0,10,84,227,11,1472,3301,1331,3,9,0,111,430,30,55,8,1,0,32,7,2,0,0,147,52,1,452,4,3,75,11,1319,17,4,66,0,5,0,5,223,2,0,888,35,2,461,0,0,3,26,8,7,27,9,0,33,1443,20,8,30,7,6,63,77,57,803,11,17,15,31,32,0,0,1,221,0,10,12,0,0,26,0,77,225,0,0,0,82,1368,531,2,0,0,0,12,12,60,17,0,815,140,0,0,22,69,5,811,1954,248,18,1,55,679,1,2,0,31,26,4,179,1823,1688,0,0,222,129,296,29,523,0,1,89,1,1,101,72,47,1,0,0,0,2644,3,0,762,0,954,1075,0,351,4,3,1,12,0,0,3,0,5,0,5,1209,2,0,8,154,912,0,184,254,9,0,100,2080,2,69,0,19,25,0,0,14
D113,361,1,427,364,1,2374,4,540,1,121,156,10694,3,7,3,8551,500,24,15,1046,8307,880,0,0,3,6776,0,47,24,46,17,14916,14,78,22,70,2,6,276,0,0,8,3212,0,353,762,14,98,3439,3201,1990,0,892,253,2,346,316,292,6,2,199,847,0,10,13,0,23,1612,22,120,0,1,5,202,241,36,0,97,482,1,495,13,1750,124,29,64,3,0,25,16801,3129,6,1164,296,0,2,124,0,2585,0,46,8231,92,380,451,42264,22761,4,12,148,65,0,956,62069,5525,2487,16,99,1,6318,54,0,251,17,3680,4,81,99,2323,0,291,6980,2680,15,0,48,127,7,11619,601,533,6759,1689,1906,897,2,36,384,3568,384,137,138,51,26,3325,253,19,11718,6,1093,53,7560,2,22024,4092,246,0,2751,14662,21,93,14097,6,53,1270,3463,20,1961,5693,4159,6503,10206,1068,323,274,28,24998,0,1002,10,802,134,455,26,38,219,20,33,12,535,0,135,79,446,15,0,9,865,231,341,470,41,7002,6434,8,389,2623,697,173,103,3,2450,1,1298,552,0,4,0,25,1,0,11,55,1720,30,173,7875,114,0,0,76,51,0,0,0,12716,622,20,30,1,2315,1044,5706,0,4,13,239,13,0,1,2,72,8,93,121,86,8108,9234,428,11743,7269,36,362,0,1089,0,9,3,3735,1649,2,255,332,6,10189,58,40,326,33,4336,101,0,3976,6541,1405,2170,0,0,1883,73,1067,30,0,823,22,1543,168,87,636,0,52,128,74,617,2,1730,2651,1796,760,5331,2,87,564,0,169,7838,304,16,481,26070,1,206,514,1523,111,17037,43575,18622,3,187,3,525,12501,1148,415,402,10,0,145,82,81,0,51,1866,64,21,6327,16,104,1149,28,17030,43,46,1111,0,158,0,80,692,44,0,21162,358,32,2920,1,6,89,282,47,9,381,71,0,187,9659,818,248,248,71,319,331,1048,2344,4771,339,143,153,362,220,2,0,40,667,0,156,129,0,16,364,32,2207,6717,0,0,0,415,23745,11639,64,86,7,0,197,160,1361,116,0,7333,3599,21,24,1295,270,24,19612,28304,5931,222,66,759,10333,1,37,8,119,408,342,4678,14847,4548,3,5,1486,2902,2784,255,8880,4,10,1251,6,7,1310,1323,399,45,4,0,17,28083,49,0,9907,0,10877,16002,6,3910,41,88,3,27,0,4,187,11,10,4,248,14680,6,0,47,1762,4985,0,185,1867,29,0,1602,23442,10,516,0,85,474,0,15,37
D114,135,0,209,114,1,1174,3,90,3,15,60,4220,4,4,5,1842,126,15,0,253,2220,199,0,0,1,2849,0,12,22,27,3,7061,8,108,47,26,1,3,124,0,2,4,880,0,122,225,1,85,1654,812,1354,4,74,86,0,205,179,52,15,0,66,281,0,2,1,0,3,768,6,28,0,0,1,48,94,10,0,15,151,0,193,12,770,40,46,7,0,0,12,7557,1535,1,648,103,0,0,51,0,1754,0,13,3361,29,271,78,17252,8500,1,5,31,30,0,213,5525,24397,457,9,25,1,4135,22,0,73,2,1893,2,40,17,1118,0,165,2830,1649,16,0,25,90,1,5412,280,264,2443,329,948,382,3,5,37,1564,114,114,31,18,9,801,287,1,4423,0,434,51,2745,1,8198,1758,127,0,627,4390,4,78,5174,4,74,98,911,4,327,1696,2135,4339,3644,878,94,35,25,9541,0,243,3,442,125,144,11,17,156,21,35,3,197,0,34,57,301,1,0,0,208,138,170,87,16,2464,2164,3,319,1479,294,51,29,1,927,0,371,188,0,1,0,12,0,0,5,2,780,2,98,2243,19,0,0,31,7,0,0,1,5612,227,10,11,1,1094,195,2151,0,0,0,283,7,0,0,0,62,0,56,38,112,1912,3250,43,4689,2622,19,154,0,370,0,5,1,485,617,0,202,121,1,3268,15,35,49,46,1454,78,0,664,2883,1073,938,0,0,885,70,362,7,0,225,9,530,41,129,387,0,34,60,37,124,1,1182,1197,1282,296,2349,0,42,304,1,37,2231,103,8,177,10236,1,50,261,255,26,6331,17830,9631,0,89,0,155,3765,440,284,117,12,0,17,63,3,0,8,741,98,5,2303,10,50,354,14,5909,18,0,1655,0,51,0,54,161,22,0,8509,110,25,2000,1,6,47,106,49,13,216,20,0,84,2425,218,70,34,41,169,158,445,622,2298,189,43,129,306,69,0,1,14,406,0,38,117,0,2,94,3,942,1909,0,2,0,260,8953,5124,55,64,1,0,35,62,439,47,0,2142,1498,14,13,213,119,35,7175,11907,2177,18,34,205,4409,2,35,1,84,146,53,3448,4597,1403,0,6,815,1086,806,56,3456,0,5,542,0,1,529,423,184,20,2,0,4,12356,10,3,3399,0,3206,5490,3,2078,8,25,0,17,0,2,90,7,0,0,76,4698,0,0,15,1089,1555,0,90,677,33,0,672,8452,3,184,0,44,225,0,5,13
D115,59,0,175,184,0,109,1,593,11,5,80,3656,1,5,1,1280,75,4,6,141,881,280,0,0,0,1297,0,10,4,1,1,811,0,36,1,34,0,0,13,1,0,2,1587,0,52,35,1,15,736,1730,554,2,221,35,0,100,87,138,1,0,73,142,0,0,0,0,0,430,1,19,0,0,0,34,36,2,0,31,31,0,17,8,213,16,52,3,3,0,3,4328,1152,0,305,55,0,0,61,0,349,0,4,775,7,89,249,7598,2164,1,1,50,4,0,125,2487,457,11304,0,1,1,2443,6,0,58,2,613,6,16,5,373,0,71,2480,697,8,0,20,41,0,2109,128,159,2172,446,557,462,0,2,137,473,76,13,30,9,3,729,32,13,1633,1,129,5,2023,3,5790,747,40,0,801,1327,0,19,3735,1,18,137,933,1,94,1985,566,1513,1359,313,7,58,8,3418,0,32,0,96,87,74,6,1,73,2,27,3,38,0,17,15,71,1,0,1,134,138,58,172,1,1395,464,1,57,252,7,8,7,1,327,1,218,67,0,1,0,6,0,0,9,1,218,1,41,1560,22,0,0,53,3,0,0,0,2881,12,6,15,0,371,452,445,0,0,3,39,4,0,2,0,10,0,40,9,133,1772,3060,19,1717,1132,3,14,0,73,0,11,2,1248,514,1,22,70,1,1506,27,23,5,1,1738,16,0,1173,957,208,156,0,0,510,1,344,4,0,63,4,145,11,4,26,0,23,24,11,286,1,315,575,330,463,590,0,12,31,0,34,1959,230,0,65,6461,0,98,193,148,38,1941,5873,1433,4,6,1,106,2200,436,87,185,5,0,93,7,5,0,19,133,137,5,1382,11,17,165,1,3263,26,2,522,1,12,0,7,184,0,0,3152,99,5,503,4,1,72,40,11,1,31,12,0,72,2613,50,9,22,9,66,33,151,563,985,23,187,81,56,342,0,0,19,185,0,19,20,0,0,42,0,218,588,0,0,0,77,4289,1859,12,9,0,0,21,15,157,45,0,3170,349,1,2,127,21,7,2018,3756,355,16,4,47,1371,1,4,0,11,124,0,637,2465,1167,0,3,210,158,436,58,1763,0,0,504,0,1,419,122,110,15,0,0,1,5308,25,0,1240,0,922,2268,2,804,3,2,1,1,0,0,31,4,0,0,44,1669,2,0,0,188,1475,0,154,881,19,0,139,4182,1,146,0,19,96,0,2,39
D116,0,0,2,0,0,4,0,0,0,0,0,10,0,0,0,9,0,2,0,0,4,4,0,0,0,19,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,2,0,1,6,0,0,9,11,2,0,3,0,0,0,6,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,1,0,0,0,0,0,34,24,0,1,2,0,0,0,0,2,0,0,15,1,0,2,25,12,0,0,0,0,0,0,16,9,0,104,0,0,30,0,0,6,0,13,0,0,0,2,0,1,17,14,0,0,0,1,0,20,1,5,22,2,13,7,0,0,0,11,0,0,0,0,0,5,1,0,9,0,1,0,13,0,55,7,1,0,6,20,0,0,47,0,0,0,6,0,9,9,14,2,11,1,1,1,1,25,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,2,0,12,5,0,0,7,0,0,0,0,7,0,5,1,0,0,0,0,0,0,0,1,5,0,1,4,0,0,0,2,0,0,0,0,17,3,0,0,0,4,1,4,0,0,0,1,0,0,0,0,2,0,0,0,2,4,18,0,10,1,0,3,0,5,0,0,0,15,2,0,2,0,0,21,1,0,0,0,12,0,0,8,13,3,2,0,0,1,0,6,0,0,4,0,8,0,0,0,0,1,0,0,1,0,3,1,6,21,11,0,0,1,0,0,8,0,0,0,26,0,1,5,3,0,12,31,21,0,2,0,6,2,3,2,0,0,0,0,0,0,0,0,4,4,0,15,1,0,2,0,2,0,0,0,0,0,0,0,3,0,0,37,0,0,9,0,0,1,0,1,0,2,2,0,0,20,0,1,0,0,0,2,1,2,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,2,49,14,0,0,0,0,1,3,5,0,0,13,9,0,0,4,0,0,43,36,1,1,0,2,34,0,1,0,0,0,0,8,35,27,0,0,2,21,11,2,14,0,0,1,0,0,2,2,1,0,0,0,0,42,0,0,10,0,14,23,0,4,0,0,0,0,0,0,1,0,0,0,0,27,0,0,0,4,14,0,11,5,2,0,4,65,0,1,0,0,1,0,0,0
D117,2,0,6,0,0,8,0,0,0,1,2,119,0,0,0,29,3,0,0,4,55,4,0,0,0,50,0,0,0,0,0,117,0,0,1,0,0,0,10,0,0,0,5,0,3,17,0,0,15,10,13,0,2,0,0,1,5,1,0,0,2,16,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,1,3,0,0,0,1,2,1,0,0,0,0,152,3,0,7,7,0,0,0,0,9,0,0,57,0,3,2,303,185,0,1,0,1,0,4,99,25,1,0,428,0,93,0,0,1,0,23,0,0,1,8,0,0,31,8,0,0,0,3,0,111,7,9,78,18,9,11,0,1,3,16,3,2,0,0,0,56,0,0,67,0,14,0,55,0,52,32,1,0,33,211,0,0,38,0,0,9,37,0,28,29,15,46,117,18,0,1,0,206,0,9,0,4,6,6,0,0,0,0,4,0,1,0,2,1,3,0,0,0,1,0,0,6,0,54,10,0,1,49,0,2,1,0,13,0,3,11,0,0,0,0,0,0,0,0,22,1,0,50,0,0,0,0,0,0,0,0,147,1,1,0,0,23,6,22,0,0,0,8,0,0,0,0,3,0,1,0,0,54,62,0,82,37,0,0,0,2,0,0,0,13,12,0,1,0,0,36,0,0,0,0,33,0,0,19,47,7,21,0,0,12,0,3,0,0,11,0,4,6,0,15,0,0,0,0,2,0,8,17,15,4,31,0,0,2,0,5,35,0,0,2,150,0,0,7,4,1,97,368,102,0,1,0,2,70,11,5,4,0,0,1,0,0,0,0,15,0,0,19,0,1,1,0,115,0,0,14,0,1,0,0,3,1,0,65,0,0,13,0,0,0,0,1,0,7,0,0,1,90,3,1,0,0,2,1,5,17,6,1,0,0,8,0,0,0,0,7,0,1,0,0,0,0,2,4,77,0,0,0,5,172,68,1,1,0,0,0,0,6,1,0,79,6,0,0,3,0,0,198,214,49,7,0,2,177,0,0,0,0,5,3,79,134,45,0,0,4,31,10,1,55,0,0,1,0,0,2,2,1,1,0,0,0,214,0,0,44,0,60,95,0,34,1,1,0,0,0,0,2,0,0,0,2,157,0,0,1,7,37,0,1,10,0,0,3,175,0,1,0,0,4,0,0,0
D118,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,2,0,0,0,7,5,0,0,0,0,0,0,1,1,1,0,0,14,4,0,0,0,0,3,0,0,0,1,0,1,3,1,0,0,0,0,0,1,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,11,2,0,0,3,3,0,0,5,2,0,0,0,0,0,0,1,1,2,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,5,7,5,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,7,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,1,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0
D119,224,0,2349,392,0,909,8,566,74,252,213,15889,3,34,4,6018,388,84,7,356,2679,1270,0,0,1,10655,0,149,68,81,2,13794,9,124,0,209,2,5,896,0,0,40,4271,0,631,919,13,218,3690,5984,4282,19,1122,718,0,664,1890,220,4,6,404,2436,0,14,4,0,13,5715,81,121,0,1,3,46,288,43,0,330,384,1,389,58,2189,118,322,3,0,0,46,24476,4383,0,1049,1924,0,1,81,0,4194,0,56,9213,83,1516,1710,46741,18355,5,35,192,70,1,614,6318,4135,2443,30,93,4,77947,17,0,581,5,12066,22,71,121,2873,0,1195,12771,3435,105,0,11,168,0,20435,690,1057,15413,1905,5847,3152,1,35,124,7429,524,95,37,18,101,6693,531,10,6892,7,1044,25,4748,35,30133,9989,214,0,7016,16967,4,32,19643,78,274,249,5483,46,1313,7426,10794,4281,7660,1619,368,275,72,27155,1,519,7,1070,123,1331,22,87,723,34,141,23,158,0,49,293,1294,4,0,29,539,238,528,915,8,8697,3248,31,249,5482,100,307,84,0,3846,6,2740,1160,0,9,0,35,0,0,30,66,3534,9,502,16145,72,0,0,77,11,0,0,0,13920,784,74,36,0,1051,863,3083,0,0,16,229,43,0,0,19,120,3,149,13,1472,11542,11342,376,7516,6810,20,437,0,444,0,44,3,9488,3532,7,159,75,2,11593,92,8,111,81,11643,295,0,4321,6779,2809,1973,0,1,3286,43,369,221,1,1346,17,1909,182,204,1107,0,71,123,22,468,8,2434,2836,1526,5530,6025,0,335,246,1,102,10113,211,4,698,35582,0,71,737,934,123,17908,41924,18416,2,444,8,2171,12278,812,1484,556,28,0,236,53,115,0,64,1819,1316,21,6904,58,84,1693,4,12474,111,5,1145,1,182,0,46,1716,20,0,14702,1210,71,9718,9,12,236,277,209,17,428,38,0,152,18430,535,95,178,57,279,399,1099,1773,4691,175,701,167,537,342,2,0,87,1336,0,316,99,0,18,760,56,2496,5444,0,0,0,735,36400,9370,52,43,0,0,122,95,1542,395,0,15906,2025,33,55,1989,898,2,22540,29125,3127,359,9,451,17792,21,117,7,116,166,156,6423,33750,13299,10,12,2305,6005,5612,389,9135,2,86,1287,0,14,1479,1134,1279,77,6,3,12,32744,113,3,11091,0,5784,17824,12,5758,67,60,1,1,0,2,43,2,8,0,142,21636,10,0,270,1279,9956,0,1528,3238,75,0,1568,39551,0,1046,1,50,390,1,8,661
D120,5,0,2,0,0,9,0,0,0,0,0,7,0,1,1,31,0,0,0,17,33,2,0,0,0,28,0,0,1,1,0,79,0,0,0,0,0,0,0,0,0,1,5,0,5,1,0,2,6,9,23,0,0,0,0,3,18,1,0,0,1,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,6,0,26,0,0,3,0,0,0,91,132,0,0,4,0,0,0,0,3,0,1,9,0,9,1,48,0,0,0,0,0,0,0,54,22,6,0,0,0,17,246,0,0,0,30,0,0,0,4,0,4,15,31,0,0,0,0,0,55,2,6,37,1,0,10,0,0,0,6,4,0,0,0,0,1,2,0,48,0,5,0,38,0,142,2,0,0,10,1,0,1,120,0,0,4,8,0,0,28,111,48,16,1,0,0,0,134,0,2,0,8,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,11,0,0,0,25,1,2,0,0,57,0,2,1,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,1,0,0,0,0,127,7,0,0,0,21,0,2,0,0,0,2,0,0,0,0,2,0,0,1,5,1,32,0,72,0,0,0,0,2,0,0,0,7,11,0,0,3,0,46,0,0,0,0,1,0,0,5,34,7,3,0,0,3,0,0,0,0,6,0,18,0,0,0,0,0,1,2,1,0,25,1,13,5,44,0,0,0,0,0,41,0,0,0,51,0,4,4,0,0,14,88,29,0,0,0,3,34,1,37,0,0,0,1,0,0,0,0,4,8,0,23,0,0,0,0,24,0,0,17,0,0,0,0,2,1,0,145,0,0,25,0,1,10,2,0,0,0,0,0,1,34,2,0,0,1,0,19,8,3,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,21,44,0,0,0,0,51,76,0,1,0,0,0,3,1,0,0,20,83,0,0,10,0,1,62,106,0,0,0,0,32,0,2,1,0,0,1,22,95,34,0,0,5,7,16,7,12,0,0,0,0,0,7,15,5,1,0,0,0,112,0,0,71,0,11,40,0,21,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,6,3,0,2,8,0,0,7,67,0,2,0,0,1,0,1,0
D121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
