city,rank,element_id,prevalence
Bogota,9,F021,0.036379908267143976
Bogota,10,F029,0.03317924663992457
Paris,1,F054,0.0737108924715471
Paris,2,F028,0.05983106846557239
Paris,3,F036,0.057558082899030735
Paris,4,F013,0.048427175166009126
Paris,5,F058,0.041038348513629794
Paris,6,F010,0.04017786112058189
Paris,7,F021,0.03949434188950043
Paris,8,F057,0.035783287061841446
Paris,9,F040,0.03205721429383209
Paris,10,F029,0.031840874774730896
Mumbai,1,F054,0.06520510963912503
Mumbai,2,F036,0.05803007142410183
Mumbai,3,F021,0.056349057362761135
Mumbai,4,F013,0.04721097374560863
Mumbai,5,F028,0.04222424843787712
Mumbai,6,F058,0.041104168342764175
Mumbai,7,F022,0.04104248795444591
Mumbai,8,F010,0.03662831755566878
Mumbai,9,F045,0.03305308982988728
Mumbai,10,F007,0.030980986349861888
NewDelhi,1,F054,0.06379913871914546
NewDelhi,2,F021,0.06069607027721833
NewDelhi,3,F036,0.06063034004440442
NewDelhi,4,F010,0.051380850420329804
NewDelhi,5,F022,0.04273796921934823
NewDelhi,6,F028,0.04227399110536771
NewDelhi,7,F058,0.03708001388497467
NewDelhi,8,F013,0.03707442896323231
NewDelhi,9,F057,0.03177777510465284
NewDelhi,10,F007,0.031101140355097916
Jakarta,1,F021,0.056547252722660306
Jakarta,2,F054,0.05014602378900961
Jakarta,3,F007,0.046816329727630064
Jakarta,4,F036,0.04469191138506002
Jakarta,5,F057,0.04372521312120054
Jakarta,6,F053,0.043031460253875185
Jakarta,7,F013,0.0398684107464557
Jakarta,8,F052,0.03907355219051668
Jakarta,9,F028,0.03604797444943357
Jakarta,10,F010,0.03598403409299805
Osaka,1,F054,0.06737702137464677
Osaka,2,F010,0.055847625234820286
Osaka,3,F013,0.055656408713712864
Osaka,4,F036,0.052691752567421826
Osaka,5,F028,0.052355323499950396
Osaka,6,F021,0.04652361964073696
Osaka,7,F040,0.04184161511554598
Osaka,8,F022,0.0312747021342644
Osaka,9,F027,0.030233812201374197
Osaka,10,F001,0.029052910171438812
KualaLumpur,1,F036,0.06630613364731328
KualaLumpur,2,F057,0.061214491283696985
KualaLumpur,3,F013,0.05291692596141694
KualaLumpur,4,F054,0.052915726139950374
KualaLumpur,5,F058,0.044837328205563014
KualaLumpur,6,F021,0.04454817123212066
KualaLumpur,7,F007,0.04257366503864225
KualaLumpur,8,F029,0.04212333204819123
KualaLumpur,9,F053,0.03774718321913699
KualaLumpur,10,F027,0.0323399878098139
MexicoCity,1,F054,0.10427915680378734
MexicoCity,2,F058,0.04743898343036274
MexicoCity,3,F036,0.04471562919838782
MexicoCity,4,F021,0.04347010747872817
MexicoCity,5,F057,0.042194597274646535
MexicoCity,6,F013,0.04098906020088286
MexicoCity,7,F028,0.03997744865971467
MexicoCity,8,F022,0.03912937432026102
MexicoCity,9,F010,0.03720771223850042
MexicoCity,10,F029,0.03461270871985158
Amsterdam,1,F013,0.062432687292814114
Amsterdam,2,F057,0.05724345280481051
Amsterdam,3,F028,0.05609217339914841
Amsterdam,4,F036,0.055876207591985284
Amsterdam,5,F033,0.039091425794148656
Amsterdam,6,F021,0.03749731556520068
Amsterdam,7,F054,0.03701613567335313
Amsterdam,8,F058,0.03463203463203463
Amsterdam,9,F029,0.03042130690396263
Amsterdam,10,F008,0.02966522474168875
Lagos,1,F057,0.0676909740026664
Lagos,2,F058,0.055576831863398624
Lagos,3,F007,0.05552916047072095
Lagos,4,F054,0.052179343785252796
Lagos,5,F036,0.04387410586093734
Lagos,6,F001,0.043537601912624346
Lagos,7,F033,0.03830095951697262
Lagos,8,F022,0.03680271574710286
Lagos,9,F013,0.03542104655932725
Lagos,10,F021,0.03187012870474823
Lima,1,F054,0.09163525897471782
Lima,2,F058,0.06255479254837427
Lima,3,F028,0.04514624483039846
Lima,4,F022,0.042986312519805746
Lima,5,F013,0.039034010388265025
Lima,6,F007,0.03803869620678728
Lima,7,F036,0.03772904290588309
Lima,8,F053,0.03700879737092283
Lima,9,F021,0.03478492366442912
Lima,10,F010,0.03194335194470316
Manila,1,F054,0.06999071266322775
Manila,2,F021,0.051000027174651484
Manila,3,F036,0.04465035015337693
Manila,4,F013,0.04412563960337797
Manila,5,F007,0.03958067914249588
Manila,6,F057,0.03932012219002115
Manila,7,F028,0.03906915629101174
Manila,8,F010,0.03671934819200649
Manila,9,F022,0.03563795691379082
Manila,10,F058,0.0348886558618121
Moscow,1,F036,0.0713941387588544
Moscow,2,F021,0.06580443524816346
Moscow,3,F054,0.06573236686968596
Moscow,4,F013,0.06425776777006023
Moscow,5,F057,0.057605055676826174
Moscow,6,F028,0.05388752848702849
Moscow,7,F058,0.04361017733625664
Moscow,8,F007,0.03626000349131256
Moscow,9,F053,0.028430574929493104
Moscow,10,F010,0.02796453274867194
Singapore,1,F013,0.06625974260061251
Singapore,2,F036,0.06440416242200689
Singapore,3,F058,0.05165851531054816
Singapore,4,F054,0.050809985692881365
Singapore,5,F021,0.04502920164990529
Singapore,6,F028,0.043532506449468836
Singapore,7,F007,0.0432279370229284
Singapore,8,F027,0.04222008178715063
Singapore,9,F029,0.041084283251980706
Singapore,10,F057,0.04080184238351125
CapeTown,1,F054,0.10025778059225571
CapeTown,2,F058,0.06409213897124436
CapeTown,3,F013,0.0433689460739632
CapeTown,4,F052,0.04296476465527443
CapeTown,5,F001,0.042652533509877855
CapeTown,6,F029,0.03993360390700709
CapeTown,7,F036,0.03906647285148192
CapeTown,8,F021,0.03618163297288826
CapeTown,9,F028,0.033194848226079335
CapeTown,10,F057,0.032865426377415095
Johannesburg,1,F054,0.08180661391881502
Johannesburg,2,F058,0.06982156238747288
Johannesburg,3,F057,0.05525669972328464
Johannesburg,4,F036,0.047269909394372915
Johannesburg,5,F013,0.04314553670776847
Johannesburg,6,F001,0.041522307540088045
Johannesburg,7,F029,0.040726710331247425
Johannesburg,8,F021,0.04015413986290749
Johannesburg,9,F052,0.03573131684719667
Johannesburg,10,F007,0.035208623268095984
Seoul,1,F036,0.0671234476426719
Seoul,2,F054,0.06558961390396727
Seoul,3,F013,0.051846721324678255
Seoul,4,F028,0.047855693184929854
Seoul,5,F010,0.046906963258863135
Seoul,6,F021,0.04588091748143614
Seoul,7,F058,0.036823687643960504
Seoul,8,F027,0.03663885443680234
Seoul,9,F022,0.03271749110062336
Seoul,10,F029,0.03130607412657249
Taipei,1,F036,0.06676498724489796
Taipei,2,F054,0.061693948412698416
Taipei,3,F013,0.052471864692846835
Taipei,4,F021,0.045858779117707686
Taipei,5,F028,0.042756164965986394
Taipei,6,F027,0.040739425505050504
Taipei,7,F058,0.03802332959699031
Taipei,8,F045,0.03441824172850959
Taipei,9,F029,0.03404903628117914
Taipei,10,F007,0.03403534709338281
Bangkok,1,F054,0.0702694158558432
Bangkok,2,F013,0.05442003902171102
Bangkok,3,F021,0.047402437739295374
Bangkok,4,F036,0.04462549375876152
Bangkok,5,F057,0.040559667772601136
Bangkok,6,F053,0.03979048981507796
Bangkok,7,F007,0.03964359957721158
Bangkok,8,F058,0.03787971924804971
Bangkok,9,F022,0.03400509006606867
Bangkok,10,F029,0.03369454494362289
Istanbul,1,F054,0.07599687387549478
Istanbul,2,F028,0.06060721675320002
Istanbul,3,F010,0.054945734591065644
Istanbul,4,F036,0.04885091631110883
Istanbul,5,F013,0.04530711843931527
Istanbul,6,F021,0.04189504832159564
Istanbul,7,F058,0.04117054567418907
Istanbul,8,F022,0.03597051226031975
Istanbul,9,F029,0.03323836619030484
Istanbul,10,F035,0.030723490592710637
London,1,F054,0.06475888252960843
London,2,F036,0.06337580649078355
London,3,F057,0.05546511345514009
London,4,F028,0.05531170818188442
London,5,F013,0.049494855459042
London,6,F007,0.037855078564547597
London,7,F058,0.036342478284451425
London,8,F040,0.0358421909025411
London,9,F029,0.03469509184078232
London,10,F021,0.032100964146070964
LosAngeles,1,F054,0.10383494498326765
LosAngeles,2,F036,0.07482645108740182
LosAngeles,3,F058,0.06879862863826157
LosAngeles,4,F013,0.045014675948313675
LosAngeles,5,F001,0.03663605094088332
LosAngeles,6,F052,0.03535883376415984
LosAngeles,7,F029,0.03368077924706842
LosAngeles,8,F028,0.03239191449231822
LosAngeles,9,F045,0.032222020509376705
LosAngeles,10,F027,0.03214209402567608
NewYorkCity,1,F036,0.08829794265884491
NewYorkCity,2,F054,0.07815830785755598
NewYorkCity,3,F013,0.05229075435842353
NewYorkCity,4,F058,0.04223622242419235
NewYorkCity,5,F021,0.040373874246054695
NewYorkCity,6,F028,0.04011897876559531
NewYorkCity,7,F045,0.035980335454019664
NewYorkCity,8,F010,0.03507270924564158
NewYorkCity,9,F057,0.034034123770965874
NewYorkCity,10,F040,0.03379162191192266
