pair_rank,sample_rank,element_a,name_a,element_b,name_b,pair_unexpected_score,visual_distance,observed,expected,global_image_index,city_key,panoid,heading,patches_a,patches_b,share_a,share_b,joint_min_share,sample_pair_score
3,1,F011,road_edge,F058,shaded alley,38.06979734307124,0.9101736972704715,111295,98188.50381977625,218140,Peru/Lima,NdHCs7RZpI953ueQZ3jlRw,270.0,34,34,0.17346938775510204,0.17346938775510204,0.17346938775510204,6.603944437063378
3,2,F011,road_edge,F058,shaded alley,38.06979734307124,0.9101736972704715,111295,98188.50381977625,214652,Peru/Lima,rGdpie9aNat3k61FVRyMNg,180.0,31,36,0.15816326530612246,0.1836734693877551,0.15816326530612246,6.021243457322492
3,3,F011,road_edge,F058,shaded alley,38.06979734307124,0.9101736972704715,111295,98188.50381977625,166362,Malaysia/KualaLumpur,eNO25X5JZpaeqHTgWTSe6g,90.0,31,35,0.15816326530612246,0.17857142857142858,0.15816326530612246,6.021243457322492
3,4,F011,road_edge,F058,shaded alley,38.06979734307124,0.9101736972704715,111295,98188.50381977625,87226,China/HongKong,t90-6QeltyJrcwWeL3ytHg,270.0,33,31,0.1683673469387755,0.15816326530612246,0.15816326530612246,6.021243457322492
3,5,F011,road_edge,F058,shaded alley,38.06979734307124,0.9101736972704715,111295,98188.50381977625,225384,Peru/Lima,-DPHlu7vcYWXlRBSX0G16A,90.0,33,31,0.1683673469387755,0.15816326530612246,0.15816326530612246,6.021243457322492
4,1,F041,concrete_wall,F062,shaded alley,38.030311087458124,0.9141439205955335,4456,2412.5848771705673,85058,China/HongKong,MOpD9C8ws4Ha6oqHLV63zw,90.0,24,30,0.12244897959183673,0.15306122448979592,0.12244897959183673,4.656772786219362
4,2,F041,concrete_wall,F062,shaded alley,38.030311087458124,0.9141439205955335,4456,2412.5848771705673,343674,UnitedKingdom/London,UykeASIWqQNbkPRY0ADaXA,90.0,20,22,0.10204081632653061,0.11224489795918367,0.10204081632653061,3.8806439885161352
4,3,F041,concrete_wall,F062,shaded alley,38.030311087458124,0.9141439205955335,4456,2412.5848771705673,87434,China/HongKong,f3RA6OL5JHlq9OrDjmQzcQ,0.0,19,20,0.09693877551020408,0.10204081632653061,0.09693877551020408,3.6866117890903283
4,4,F041,concrete_wall,F062,shaded alley,38.030311087458124,0.9141439205955335,4456,2412.5848771705673,46127,Bangladesh/Dhaka,Jh2oGfcJXiCAWPtFUSWh8w,180.0,22,18,0.11224489795918367,0.09183673469387756,0.09183673469387756,3.4925795896645218
4,5,F041,concrete_wall,F062,shaded alley,38.030311087458124,0.9141439205955335,4456,2412.5848771705673,301871,SouthKorea/Seoul,5wR59-ivT3CpEuyXnZIZrg,0.0,20,18,0.10204081632653061,0.09183673469387756,0.09183673469387756,3.4925795896645218
5,1,F034,red_door_street,F060,street_corner_shop,35.360027906208416,0.913151364764268,17062,12698.405186659556,315766,Thailand/Bangkok,Oy2iZmzdg6gPDShRCqt5qQ,180.0,40,30,0.20408163265306123,0.15306122448979592,0.15306122448979592,5.412249169317615
5,2,F034,red_door_street,F060,street_corner_shop,35.360027906208416,0.913151364764268,17062,12698.405186659556,104028,France/Paris,18fbofP9MuEEXwOFTC9SUA,180.0,34,30,0.17346938775510204,0.15306122448979592,0.15306122448979592,5.412249169317615
5,3,F034,red_door_street,F060,street_corner_shop,35.360027906208416,0.913151364764268,17062,12698.405186659556,48405,Bangladesh/Dhaka,6WWA6yXtYQ6uEGftshlFDw,180.0,48,29,0.24489795918367346,0.14795918367346939,0.14795918367346939,5.231840863673694
5,4,F034,red_door_street,F060,street_corner_shop,35.360027906208416,0.913151364764268,17062,12698.405186659556,211159,Nigeria/Lagos,4x06lujcx-6MQkcKcaFS1A,90.0,29,32,0.14795918367346939,0.16326530612244897,0.14795918367346939,5.231840863673694
5,5,F034,red_door_street,F060,street_corner_shop,35.360027906208416,0.913151364764268,17062,12698.405186659556,309264,Taiwan/Taipei,0peb5S27u9GtYgwJAkElHQ,180.0,30,29,0.15306122448979592,0.14795918367346939,0.14795918367346939,5.231840863673694
6,1,F002,shaded patches,F004,highlighted_buildings,35.18358160725442,0.9116625310173697,21525,16558.838120152686,145667,Indonesia/Jakarta,9y2ZdOAAF77OVIJ3vKmkQg,0.0,26,30,0.1326530612244898,0.15306122448979592,0.1326530612244898,4.667209805043954
6,2,F002,shaded patches,F004,highlighted_buildings,35.18358160725442,0.9116625310173697,21525,16558.838120152686,129716,India/NewDelhi,4hUnyU6byr2BMkYQtqe7UQ,270.0,31,24,0.15816326530612246,0.12244897959183673,0.12244897959183673,4.308193666194418
6,3,F002,shaded patches,F004,highlighted_buildings,35.18358160725442,0.9116625310173697,21525,16558.838120152686,320560,Thailand/Bangkok,0r1zLildsuui8--SqnoGAg,0.0,21,22,0.10714285714285714,0.11224489795918367,0.10714285714285714,3.769669457920116
6,4,F002,shaded patches,F004,highlighted_buildings,35.18358160725442,0.9116625310173697,21525,16558.838120152686,83409,China/HongKong,iISb5oKW3fftT44vTVrLQg,180.0,20,33,0.10204081632653061,0.1683673469387755,0.10204081632653061,3.590161388495349
6,5,F002,shaded patches,F004,highlighted_buildings,35.18358160725442,0.9116625310173697,21525,16558.838120152686,217247,Peru/Lima,MG9MlYIZR27sJJeQ6-fwDA,90.0,20,28,0.10204081632653061,0.14285714285714285,0.10204081632653061,3.590161388495349
7,1,F008,stone_wall_and_retaining_wall,F017,building facade,34.73824553429316,0.771712158808933,40657,32537.244983078945,266731,SouthAfrica/CapeTown,KhWDVrNHgSSLaIxloY61Tw,0.0,35,25,0.17857142857142858,0.12755102040816327,0.12755102040816327,4.430898665088414
7,2,F008,stone_wall_and_retaining_wall,F017,building facade,34.73824553429316,0.771712158808933,40657,32537.244983078945,151838,Japan/Osaka,uwsMTTEwAUszzVvOu7G1WA,0.0,25,25,0.12755102040816327,0.12755102040816327,0.12755102040816327,4.430898665088414
7,3,F008,stone_wall_and_retaining_wall,F017,building facade,34.73824553429316,0.771712158808933,40657,32537.244983078945,200888,Netherlands/Amsterdam,QCxNP4JcO9LzKTYylEoBnQ,180.0,25,24,0.12755102040816327,0.12244897959183673,0.12244897959183673,4.253662718484877
7,4,F008,stone_wall_and_retaining_wall,F017,building facade,34.73824553429316,0.771712158808933,40657,32537.244983078945,365713,UnitedStates/LosAngeles,4RJEYLaXVzWU9lMl1B_59A,0.0,25,24,0.12755102040816327,0.12244897959183673,0.12244897959183673,4.253662718484877
7,5,F008,stone_wall_and_retaining_wall,F017,building facade,34.73824553429316,0.771712158808933,40657,32537.244983078945,265283,SouthAfrica/CapeTown,Zncbyl7EH5o4F0fmkMuJpQ,90.0,24,24,0.12244897959183673,0.12244897959183673,0.12244897959183673,4.253662718484877
8,1,F029,electric_bike_parking,F058,shaded alley,29.45965169847501,0.9310173697270472,173014,160343.45086558716,356727,UnitedStates/LosAngeles,HjsAFSvOychIbmzLYX1jrA,0.0,37,36,0.18877551020408162,0.1836734693877551,0.1836734693877551,5.4109564344137775
8,2,F029,electric_bike_parking,F058,shaded alley,29.45965169847501,0.9310173697270472,173014,160343.45086558716,19479,Australia/Sydney,oalHUfKo7xyzSvHLN36ANQ,0.0,38,35,0.19387755102040816,0.17857142857142858,0.17857142857142858,5.260652089013395
8,3,F029,electric_bike_parking,F058,shaded alley,29.45965169847501,0.9310173697270472,173014,160343.45086558716,361894,UnitedStates/LosAngeles,-P_AkD26XSap-3W8TaERCQ,270.0,34,34,0.17346938775510204,0.17346938775510204,0.17346938775510204,5.110347743613012
8,4,F029,electric_bike_parking,F058,shaded alley,29.45965169847501,0.9310173697270472,173014,160343.45086558716,24870,Australia/Sydney,hbA2j4XTGumnjNYtcdQZpA,180.0,36,33,0.1836734693877551,0.1683673469387755,0.1683673469387755,4.960043398212629
8,5,F029,electric_bike_parking,F058,shaded alley,29.45965169847501,0.9310173697270472,173014,160343.45086558716,16170,Australia/Sydney,oaj9WATWrb6MyAZSkz8X-g,0.0,35,33,0.17857142857142858,0.1683673469387755,0.1683673469387755,4.960043398212629
9,1,F027,car_top_heat,F058,shaded alley,29.008763989041082,0.9573200992555831,143040,132029.4879387991,263034,Singapore/Singapore,IRkHJVByN_p-qytjIoY83g,180.0,30,38,0.15306122448979592,0.19387755102040816,0.15306122448979592,4.440116937098125
9,2,F027,car_top_heat,F058,shaded alley,29.008763989041082,0.9573200992555831,143040,132029.4879387991,51724,Brazil/SaoPaulo,SpDkRz1NJ-dqDqejgTxjFw,270.0,30,33,0.15306122448979592,0.1683673469387755,0.15306122448979592,4.440116937098125
9,3,F027,car_top_heat,F058,shaded alley,29.008763989041082,0.9573200992555831,143040,132029.4879387991,91856,Colombia/Bogota,6GiXNoXA_s7tSiuTfmW4Dg,180.0,29,36,0.14795918367346939,0.1836734693877551,0.14795918367346939,4.292113039194854
9,4,F027,car_top_heat,F058,shaded alley,29.008763989041082,0.9573200992555831,143040,132029.4879387991,365249,UnitedStates/LosAngeles,AwrDlGDMZtsYo0YfefylRw,0.0,33,29,0.1683673469387755,0.14795918367346939,0.14795918367346939,4.292113039194854
9,5,F027,car_top_heat,F058,shaded alley,29.008763989041082,0.9573200992555831,143040,132029.4879387991,312094,Taiwan/Taipei,0zbamVhnBT_Rcqa9YUh4Fg,270.0,31,29,0.15816326530612246,0.14795918367346939,0.14795918367346939,4.292113039194854
10,1,F004,highlighted_buildings,F008,stone_wall_and_retaining_wall,27.95417137089722,0.9667493796526054,42366,36817.686778347386,274394,SouthAfrica/CapeTown,amVlqvukX1dbDgX5aFQKFQ,180.0,31,29,0.15816326530612246,0.14795918367346939,0.14795918367346939,4.136076376306222
10,2,F004,highlighted_buildings,F008,stone_wall_and_retaining_wall,27.95417137089722,0.9667493796526054,42366,36817.686778347386,25496,Australia/Sydney,_G0jqkBGjVf_nTq0Guy5dA,0.0,32,28,0.16326530612244897,0.14285714285714285,0.14285714285714285,3.993453052985317
10,3,F004,highlighted_buildings,F008,stone_wall_and_retaining_wall,27.95417137089722,0.9667493796526054,42366,36817.686778347386,179588,Mexico/MexicoCity,WKAMGO7K3UTy5tK6Dz3PrA,0.0,29,28,0.14795918367346939,0.14285714285714285,0.14285714285714285,3.993453052985317
10,4,F004,highlighted_buildings,F008,stone_wall_and_retaining_wall,27.95417137089722,0.9667493796526054,42366,36817.686778347386,185430,Mexico/MexicoCity,UHK9YVXsvf9GF_R9d177FA,180.0,27,37,0.1377551020408163,0.18877551020408162,0.1377551020408163,3.8508297296644125
10,5,F004,highlighted_buildings,F008,stone_wall_and_retaining_wall,27.95417137089722,0.9667493796526054,42366,36817.686778347386,184275,Mexico/MexicoCity,CYbezcHWrKqLAQF3bu9-5A,90.0,29,26,0.14795918367346939,0.1326530612244898,0.1326530612244898,3.708206406343509
11,1,F033,zebra_crossing,F035,small alley entrance,27.869152356281607,0.8446650124069479,51497,44534.16785897186,337866,Turkey/Istanbul,B42H5yoP1AvY1sYzujTSsA,90.0,35,30,0.17857142857142858,0.15306122448979592,0.15306122448979592,4.2656865851451435
11,2,F033,zebra_crossing,F035,small alley entrance,27.869152356281607,0.8446650124069479,51497,44534.16785897186,338726,Turkey/Istanbul,1_uamfwN0KQS_L8qqz9e0w,90.0,33,29,0.1683673469387755,0.14795918367346939,0.14795918367346939,4.123497032306973
11,3,F033,zebra_crossing,F035,small alley entrance,27.869152356281607,0.8446650124069479,51497,44534.16785897186,198833,Netherlands/Amsterdam,JiyVuWbIJ5k4wrPfR5dMmA,270.0,27,29,0.1377551020408163,0.14795918367346939,0.1377551020408163,3.839117926630629
11,4,F033,zebra_crossing,F035,small alley entrance,27.869152356281607,0.8446650124069479,51497,44534.16785897186,131069,India/NewDelhi,zwFbW-lp5MuZ8IhDKqL0pA,0.0,27,27,0.1377551020408163,0.1377551020408163,0.1377551020408163,3.839117926630629
11,5,F033,zebra_crossing,F035,small alley entrance,27.869152356281607,0.8446650124069479,51497,44534.16785897186,333470,Turkey/Istanbul,SwQt_FXuSHuaAjGcbLJCng,270.0,26,42,0.1326530612244898,0.21428571428571427,0.1326530612244898,3.696928373792458
12,1,F033,zebra_crossing,F060,street_corner_shop,27.615922708902627,0.5766749379652606,33835,26098.62838619073,78875,China/HongKong,2t6NBdQSyYAclQXJe3AEVQ,0.0,34,30,0.17346938775510204,0.15306122448979592,0.15306122448979592,4.226926945240198
12,2,F033,zebra_crossing,F060,street_corner_shop,27.615922708902627,0.5766749379652606,33835,26098.62838619073,90498,Colombia/Bogota,fngbbqk5R6bL22gSoBv7OA,0.0,31,29,0.15816326530612246,0.14795918367346939,0.14795918367346939,4.086029380398858
12,3,F033,zebra_crossing,F060,street_corner_shop,27.615922708902627,0.5766749379652606,33835,26098.62838619073,137378,India/NewDelhi,9aMqjCTW1jux9cG3wJBgmQ,0.0,28,35,0.14285714285714285,0.17857142857142858,0.14285714285714285,3.945131815557518
12,4,F033,zebra_crossing,F060,street_corner_shop,27.615922708902627,0.5766749379652606,33835,26098.62838619073,79901,China/HongKong,6IBHNGZk1HMyfss1F9MaTw,90.0,29,28,0.14795918367346939,0.14285714285714285,0.14285714285714285,3.945131815557518
12,5,F033,zebra_crossing,F060,street_corner_shop,27.615922708902627,0.5766749379652606,33835,26098.62838619073,44361,Bangladesh/Dhaka,gkqINwSPbhQwJrGasgxDmQ,90.0,28,28,0.14285714285714285,0.14285714285714285,0.14285714285714285,3.945131815557518
13,1,F057,streetlight illumination,F058,shaded alley,27.5512985767128,0.7722084367245657,139030,126347.88966205408,278113,SouthAfrica/Johannesburg,F2dhiz-rtUZT38vJbQvJEQ,270.0,52,44,0.2653061224489796,0.22448979591836735,0.22448979591836735,6.184985394772261
13,2,F057,streetlight illumination,F058,shaded alley,27.5512985767128,0.7722084367245657,139030,126347.88966205408,247935,Russia/Moscow,F6f2LGWwm9FS2eKOx_UZzQ,0.0,47,44,0.23979591836734693,0.22448979591836735,0.22448979591836735,6.184985394772261
13,3,F057,streetlight illumination,F058,shaded alley,27.5512985767128,0.7722084367245657,139030,126347.88966205408,175866,Malaysia/KualaLumpur,FJpOXPD3Ljd17rZQghdrJA,180.0,47,43,0.23979591836734693,0.2193877551020408,0.2193877551020408,6.044417544891073
13,4,F057,streetlight illumination,F058,shaded alley,27.5512985767128,0.7722084367245657,139030,126347.88966205408,115600,India/Mumbai,_WnnRkjiFXOepMPkUstiWQ,270.0,44,43,0.22448979591836735,0.2193877551020408,0.2193877551020408,6.044417544891073
13,5,F057,streetlight illumination,F058,shaded alley,27.5512985767128,0.7722084367245657,139030,126347.88966205408,56041,Brazil/SaoPaulo,EfN4fK7WScHJo0paj77A9g,180.0,43,43,0.2193877551020408,0.2193877551020408,0.2193877551020408,6.044417544891073
14,1,F020,advertising_wall,F034,red_door_street,27.468027706833094,0.7022332506203474,6406,3948.203799713847,42633,Bangladesh/Dhaka,7ziTWEk-eBh7KZYl9zAylQ,90.0,31,39,0.15816326530612246,0.1989795918367347,0.15816326530612246,4.344432953631765
14,2,F020,advertising_wall,F034,red_door_street,27.468027706833094,0.7022332506203474,6406,3948.203799713847,40394,Bangladesh/Dhaka,q2YbjEFXxTIb6fJFoHg2jQ,270.0,33,30,0.1683673469387755,0.15306122448979592,0.15306122448979592,4.204289955127514
14,3,F020,advertising_wall,F034,red_door_street,27.468027706833094,0.7022332506203474,6406,3948.203799713847,198146,Netherlands/Amsterdam,R77udwTnpEIk290RJYfB6Q,90.0,32,30,0.16326530612244897,0.15306122448979592,0.15306122448979592,4.204289955127514
14,4,F020,advertising_wall,F034,red_door_street,27.468027706833094,0.7022332506203474,6406,3948.203799713847,38316,Bangladesh/Dhaka,GjsRGdNBh3hH_JKzzWONzw,0.0,36,29,0.1836734693877551,0.14795918367346939,0.14795918367346939,4.064146956623264
14,5,F020,advertising_wall,F034,red_door_street,27.468027706833094,0.7022332506203474,6406,3948.203799713847,50429,Bangladesh/Dhaka,739empA_8_nNA4cx2ws5PA,90.0,29,33,0.14795918367346939,0.1683673469387755,0.14795918367346939,4.064146956623264
15,1,F019,road_and_building,F041,concrete_wall,27.371423362657247,0.7424317617866005,10365,7230.163479560106,319778,Thailand/Bangkok,s7ezuRXbfb1xiUftFhhGDA,180.0,18,19,0.09183673469387756,0.09693877551020408,0.09183673469387756,2.5137021455501554
15,2,F019,road_and_building,F041,concrete_wall,27.371423362657247,0.7424317617866005,10365,7230.163479560106,329577,Turkey/Istanbul,B3cedi-iButJ4SNlBeBUiw,90.0,17,17,0.08673469387755102,0.08673469387755102,0.08673469387755102,2.3740520263529246
15,3,F019,road_and_building,F041,concrete_wall,27.371423362657247,0.7424317617866005,10365,7230.163479560106,108419,France/Paris,os5X2BZt-IJ4hXvgBlNXwA,0.0,16,20,0.08163265306122448,0.10204081632653061,0.08163265306122448,2.2344019071556933
15,4,F019,road_and_building,F041,concrete_wall,27.371423362657247,0.7424317617866005,10365,7230.163479560106,329116,Turkey/Istanbul,B4XhtFXmW4Zit2Z0kJHCSw,0.0,16,20,0.08163265306122448,0.10204081632653061,0.08163265306122448,2.2344019071556933
15,5,F019,road_and_building,F041,concrete_wall,27.371423362657247,0.7424317617866005,10365,7230.163479560106,90097,Colombia/Bogota,vn11SWsDG_0PAI50gNOUaQ,180.0,16,17,0.08163265306122448,0.08673469387755102,0.08163265306122448,2.2344019071556933
16,1,F038,red-yellow hotspot,F062,shaded alley,26.930794951685364,0.9806451612903225,3039,1855.914222661014,29066,Austria/Vienna,iDwE0vya0Jv17OvXJ1pGWg,180.0,21,23,0.10714285714285714,0.11734693877551021,0.10714285714285714,2.885442316252003
16,2,F038,red-yellow hotspot,F062,shaded alley,26.930794951685364,0.9806451612903225,3039,1855.914222661014,31834,Austria/Vienna,mfRU8i8tAAy_OmVab9fYXQ,180.0,25,20,0.12755102040816327,0.10204081632653061,0.10204081632653061,2.748040301192384
16,3,F038,red-yellow hotspot,F062,shaded alley,26.930794951685364,0.9806451612903225,3039,1855.914222661014,191168,Netherlands/Amsterdam,k-yK6uUM4ucZSmSWBcytpg,270.0,20,24,0.10204081632653061,0.12244897959183673,0.10204081632653061,2.748040301192384
16,4,F038,red-yellow hotspot,F062,shaded alley,26.930794951685364,0.9806451612903225,3039,1855.914222661014,34952,Austria/Vienna,M6z96ooC8goNZARUlACk6Q,270.0,20,23,0.10204081632653061,0.11734693877551021,0.10204081632653061,2.748040301192384
16,5,F038,red-yellow hotspot,F062,shaded alley,26.930794951685364,0.9806451612903225,3039,1855.914222661014,30012,Austria/Vienna,i8bt96Ih1sa5sbm1ZZRGww,270.0,20,19,0.10204081632653061,0.09693877551020408,0.09693877551020408,2.610638286132765
17,1,F000,red brick corner,F041,concrete_wall,26.233572892024583,0.6446650124069478,10839,7350.220467348437,349999,UnitedKingdom/London,VceFio8LIw4k1mBORBAwtQ,180.0,18,19,0.09183673469387756,0.09693877551020408,0.09183673469387756,2.4092056737573597
17,2,F000,red brick corner,F041,concrete_wall,26.233572892024583,0.6446650124069478,10839,7350.220467348437,38529,Bangladesh/Dhaka,HuHNQAlEE54g0z392gkbNA,180.0,17,18,0.08673469387755102,0.09183673469387756,0.08673469387755102,2.275360914104173
17,3,F000,red brick corner,F041,concrete_wall,26.233572892024583,0.6446650124069478,10839,7350.220467348437,78873,China/HongKong,GFnoihadOErjhAvyRxq3JQ,90.0,16,19,0.08163265306122448,0.09693877551020408,0.08163265306122448,2.141516154450986
17,4,F000,red brick corner,F041,concrete_wall,26.233572892024583,0.6446650124069478,10839,7350.220467348437,156094,Japan/Osaka,1FZzph8JowCaVnXvPBFU9w,270.0,18,16,0.09183673469387756,0.08163265306122448,0.08163265306122448,2.141516154450986
17,5,F000,red brick corner,F041,concrete_wall,26.233572892024583,0.6446650124069478,10839,7350.220467348437,196005,Netherlands/Amsterdam,i4tSFKMOxh29GyEjy3Bing,180.0,15,17,0.07653061224489796,0.08673469387755102,0.07653061224489796,2.0076713947977995
18,1,F039,red car corner,F051,zebra_crossing,25.433406431807946,0.896774193548387,2584,1489.452232998432,49925,Bangladesh/Dhaka,GDlEaclrH-6p7ZX_kFW9vw,180.0,28,28,0.14285714285714285,0.14285714285714285,0.14285714285714285,3.6333437759725635
18,2,F039,red car corner,F051,zebra_crossing,25.433406431807946,0.896774193548387,2584,1489.452232998432,46590,Bangladesh/Dhaka,llHN9ODPP64nzS35d0IjvQ,270.0,22,23,0.11224489795918367,0.11734693877551021,0.11224489795918367,2.8547701096927285
18,3,F039,red car corner,F051,zebra_crossing,25.433406431807946,0.896774193548387,2584,1489.452232998432,39034,Bangladesh/Dhaka,lm5KFvxTTqqfk9SeezbOFA,0.0,18,19,0.09183673469387756,0.09693877551020408,0.09183673469387756,2.335720998839505
18,4,F039,red car corner,F051,zebra_crossing,25.433406431807946,0.896774193548387,2584,1489.452232998432,128231,India/NewDelhi,F2KMLQl7gMV_qT6NkGDecg,90.0,17,18,0.08673469387755102,0.09183673469387756,0.08673469387755102,2.2059587211261995
18,5,F039,red car corner,F051,zebra_crossing,25.433406431807946,0.896774193548387,2584,1489.452232998432,50834,Bangladesh/Dhaka,GItViqTQycMUzhP9txU8cg,0.0,17,17,0.08673469387755102,0.08673469387755102,0.08673469387755102,2.2059587211261995
19,1,F033,zebra_crossing,F050,greenery_and_water,24.665438856157973,0.9439205955334987,4814,3310.5091732705414,373188,UnitedStates/NewYorkCity,4XG7SQHJ49DybYQV7HeXJw,180.0,22,17,0.11224489795918367,0.08673469387755102,0.08673469387755102,2.139349288544314
19,2,F033,zebra_crossing,F050,greenery_and_water,24.665438856157973,0.9439205955334987,4814,3310.5091732705414,122005,India/Mumbai,N_8HiWghZq17wHn6FVXLzQ,270.0,21,15,0.10714285714285714,0.07653061224489796,0.07653061224489796,1.8876611369508653
19,3,F033,zebra_crossing,F050,greenery_and_water,24.665438856157973,0.9439205955334987,4814,3310.5091732705414,326030,Thailand/Bangkok,oxgg-zCayV3UYW29_hI_iQ,270.0,14,32,0.07142857142857142,0.16326530612244897,0.07142857142857142,1.7618170611541408
19,4,F033,zebra_crossing,F050,greenery_and_water,24.665438856157973,0.9439205955334987,4814,3310.5091732705414,97574,Colombia/Bogota,FpjwPcqpbABTxmVG9-or4g,180.0,28,14,0.14285714285714285,0.07142857142857142,0.07142857142857142,1.7618170611541408
19,5,F033,zebra_crossing,F050,greenery_and_water,24.665438856157973,0.9439205955334987,4814,3310.5091732705414,210845,Nigeria/Lagos,AxJwsSPpYeyM04XrncxWUg,180.0,16,14,0.08163265306122448,0.07142857142857142,0.07142857142857142,1.7618170611541408
20,1,F002,shaded patches,F062,shaded alley,23.736892692437205,0.7141439205955334,5103,3217.597827980719,27573,Austria/Vienna,uPu_SR7bliLaiFYsfaWL4Q,270.0,44,38,0.22448979591836735,0.19387755102040816,0.19387755102040816,4.602050624043948
20,2,F002,shaded patches,F062,shaded alley,23.736892692437205,0.7141439205955334,5103,3217.597827980719,33428,Austria/Vienna,fzn_5Sak6fF_xau8_VJWHA,180.0,35,39,0.17857142857142858,0.1989795918367347,0.17857142857142858,4.238730837935216
20,3,F002,shaded patches,F062,shaded alley,23.736892692437205,0.7141439205955334,5103,3217.597827980719,31983,Austria/Vienna,qzj5Nm4FMtmQWRcD2doX9g,90.0,39,33,0.1989795918367347,0.1683673469387755,0.1683673469387755,3.9965176471960597
20,4,F002,shaded patches,F062,shaded alley,23.736892692437205,0.7141439205955334,5103,3217.597827980719,27949,Austria/Vienna,uhH31ilXw2cTH8EbrChfXw,0.0,41,31,0.20918367346938777,0.15816326530612246,0.15816326530612246,3.754304456456905
20,5,F002,shaded patches,F062,shaded alley,23.736892692437205,0.7141439205955334,5103,3217.597827980719,30781,Austria/Vienna,Nrj9hh3oxH_62RgPpSc-7Q,270.0,34,31,0.17346938775510204,0.15816326530612246,0.15816326530612246,3.754304456456905
