heatmap_row,dimension_id,dimension,semantic_cluster_16,top1_class,assessment
71,488,D488,2,Sky,coherent_semantic_mixture
72,247,D247,2,Sky,clear_single_semantic
73,380,D380,2,Sky,coherent_semantic_mixture
74,225,D225,2,Sky,coherent_semantic_mixture
75,479,D479,2,Sky,clear_single_semantic
76,258,D258,2,Sky,coherent_semantic_mixture
77,185,D185,2,Road,coherent_semantic_mixture
78,334,D334,2,Sky,coherent_semantic_mixture
79,19,D019,2,Sky,clear_single_semantic
80,276,D276,2,Sky,clear_single_semantic
81,321,D321,4,Vegetation,low_mapillary_specificity
82,482,D482,3,Vegetation,clear_single_semantic
83,457,D457,3,Vegetation,clear_single_semantic
84,385,D385,3,Vegetation,clear_single_semantic
85,366,D366,3,Vegetation,clear_single_semantic
86,221,D221,3,Vegetation,clear_single_semantic
87,56,D056,3,Vegetation,coherent_semantic_mixture
88,124,D124,3,Vegetation,clear_single_semantic
89,47,D047,3,Vegetation,clear_single_semantic
90,100,D100,3,Vegetation,clear_single_semantic
91,179,D179,3,Vegetation,clear_single_semantic
92,344,D344,3,Vegetation,clear_single_semantic
93,103,D103,3,Vegetation,clear_single_semantic
94,288,D288,3,Vegetation,clear_single_semantic
95,235,D235,3,Vegetation,clear_single_semantic
96,405,D405,3,Vegetation,clear_single_semantic
97,28,D028,3,Vegetation,clear_single_semantic
98,143,D143,3,Vegetation,clear_single_semantic
99,242,D242,3,Vegetation,clear_single_semantic
100,63,D063,3,Vegetation,clear_single_semantic
101,93,D093,3,Vegetation,clear_single_semantic
102,23,D023,3,Vegetation,clear_single_semantic
103,433,D433,3,Vegetation,clear_single_semantic
104,21,D021,3,Vegetation,clear_single_semantic
105,429,D429,3,Vegetation,clear_single_semantic
106,301,D301,3,Vegetation,clear_single_semantic
107,60,D060,3,Vegetation,clear_single_semantic
108,509,D509,3,Vegetation,clear_single_semantic
109,505,D505,3,Vegetation,clear_single_semantic
110,172,D172,3,Vegetation,clear_single_semantic
111,52,D052,3,Vegetation,clear_single_semantic
112,4,D004,3,Vegetation,clear_single_semantic
113,369,D369,3,Vegetation,clear_single_semantic
114,498,D498,3,Vegetation,clear_single_semantic
115,265,D265,3,Vegetation,clear_single_semantic
116,417,D417,3,Vegetation,clear_single_semantic
117,22,D022,3,Vegetation,clear_single_semantic
118,500,D500,3,Vegetation,clear_single_semantic
119,371,D371,3,Vegetation,clear_single_semantic
120,275,D275,3,Vegetation,clear_single_semantic
121,290,D290,3,Vegetation,clear_single_semantic
122,2,D002,3,Vegetation,clear_single_semantic
123,263,D263,3,Vegetation,clear_single_semantic
124,8,D008,3,Vegetation,clear_single_semantic
125,451,D451,3,Vegetation,clear_single_semantic
126,210,D210,3,Vegetation,clear_single_semantic
127,379,D379,3,Vegetation,clear_single_semantic
128,167,D167,3,Vegetation,clear_single_semantic
129,141,D141,3,Vegetation,clear_single_semantic
130,144,D144,3,Vegetation,clear_single_semantic
131,118,D118,3,Vegetation,clear_single_semantic
132,140,D140,3,Vegetation,clear_single_semantic
133,119,D119,3,Vegetation,clear_single_semantic
134,511,D511,3,Vegetation,clear_single_semantic
135,104,D104,3,Vegetation,clear_single_semantic
136,198,D198,3,Vegetation,clear_single_semantic
137,77,D077,3,Vegetation,clear_single_semantic
138,27,D027,3,Vegetation,clear_single_semantic
139,233,D233,3,Vegetation,clear_single_semantic
140,496,D496,3,Vegetation,clear_single_semantic
141,398,D398,3,Vegetation,clear_single_semantic
142,295,D295,3,Vegetation,clear_single_semantic
143,341,D341,3,Vegetation,clear_single_semantic
144,13,D013,3,Vegetation,clear_single_semantic
145,156,D156,3,Vegetation,clear_single_semantic
146,147,D147,3,Vegetation,coherent_semantic_mixture
147,383,D383,3,Terrain,coherent_semantic_mixture
148,33,D033,3,Vegetation,coherent_semantic_mixture
149,450,D450,3,Vegetation,coherent_semantic_mixture
150,0,D000,3,Terrain,coherent_semantic_mixture
151,455,D455,3,Terrain,spatial_artifact_candidate
152,48,D048,3,Terrain,coherent_semantic_mixture
153,173,D173,3,Terrain,coherent_semantic_mixture
154,408,D408,3,Terrain,coherent_semantic_mixture
155,216,D216,3,Terrain,clear_single_semantic
156,404,D404,3,Terrain,low_mapillary_specificity
157,499,D499,3,Terrain,coherent_semantic_mixture
158,382,D382,3,Terrain,low_mapillary_specificity
159,432,D432,3,Terrain,coherent_semantic_mixture
160,471,D471,3,Terrain,coherent_semantic_mixture
161,170,D170,3,Vegetation,coherent_semantic_mixture
162,238,D238,3,Vegetation,low_mapillary_specificity
163,39,D039,3,Vegetation,low_mapillary_specificity
164,423,D423,3,Vegetation,low_mapillary_specificity
165,1,D001,3,Vegetation,clear_single_semantic
166,122,D122,3,Vegetation,low_mapillary_specificity
167,494,D494,3,Vegetation,low_mapillary_specificity
168,88,D088,3,Vegetation,coherent_semantic_mixture
169,164,D164,3,Vegetation,low_mapillary_specificity
170,68,D068,3,Vegetation,coherent_semantic_mixture
171,273,D273,3,Vegetation,coherent_semantic_mixture
172,296,D296,3,Vegetation,coherent_semantic_mixture
173,472,D472,3,Vegetation,clear_single_semantic
174,257,D257,3,Vegetation,low_mapillary_specificity
175,61,D061,3,Vegetation,coherent_semantic_mixture
176,484,D484,3,Vegetation,coherent_semantic_mixture
177,162,D162,3,Vegetation,clear_single_semantic
178,475,D475,3,Fence,low_mapillary_specificity
179,129,D129,3,Sky,spatial_artifact_candidate
180,439,D439,3,Vegetation,low_mapillary_specificity
181,304,D304,3,Vegetation,spatial_artifact_candidate
182,95,D095,3,Building,low_mapillary_specificity
183,333,D333,3,Building,spatial_artifact_candidate
184,217,D217,3,Road,spatial_artifact_candidate
185,480,D480,3,Road,low_mapillary_specificity
186,510,D510,3,Building,spatial_artifact_candidate
187,419,D419,3,Fence,spatial_artifact_candidate
188,24,D024,3,Terrain,low_mapillary_specificity
189,504,D504,3,Vegetation,low_mapillary_specificity
190,324,D324,3,Sky,spatial_artifact_candidate
191,297,D297,3,Sky,coherent_semantic_mixture
192,188,D188,3,Terrain,low_mapillary_specificity
193,449,D449,3,Sky,coherent_semantic_mixture
194,464,D464,5,Bus,coherent_semantic_mixture
195,390,D390,5,Bus,coherent_semantic_mixture
196,43,D043,5,Bus,coherent_semantic_mixture
197,481,D481,6,Road,coherent_semantic_mixture
198,126,D126,6,Building,coherent_semantic_mixture
199,493,D493,6,Building,low_mapillary_specificity
200,414,D414,6,Building,low_mapillary_specificity
201,311,D311,6,Building,clear_single_semantic
202,240,D240,6,Building,clear_single_semantic
203,448,D448,6,Building,clear_single_semantic
204,262,D262,6,Building,clear_single_semantic
205,401,D401,6,Building,clear_single_semantic
206,176,D176,6,Building,clear_single_semantic
207,292,D292,6,Building,clear_single_semantic
208,345,D345,6,Building,clear_single_semantic
209,175,D175,6,Building,clear_single_semantic
210,83,D083,6,Building,clear_single_semantic
211,458,D458,6,Building,clear_single_semantic
212,418,D418,6,Building,clear_single_semantic
213,132,D132,6,Building,clear_single_semantic
214,75,D075,6,Building,clear_single_semantic
215,53,D053,6,Building,clear_single_semantic
216,308,D308,6,Building,clear_single_semantic
217,168,D168,6,Building,clear_single_semantic
218,503,D503,6,Building,clear_single_semantic
219,184,D184,6,Building,clear_single_semantic
220,396,D396,6,Building,clear_single_semantic
221,394,D394,6,Building,clear_single_semantic
222,289,D289,6,Building,clear_single_semantic
223,456,D456,6,Building,clear_single_semantic
224,346,D346,6,Building,clear_single_semantic
225,298,D298,6,Building,clear_single_semantic
226,3,D003,6,Building,clear_single_semantic
227,278,D278,6,Building,clear_single_semantic
228,57,D057,6,Building,clear_single_semantic
229,427,D427,6,Building,clear_single_semantic
230,397,D397,6,Building,clear_single_semantic
231,71,D071,6,Building,clear_single_semantic
232,307,D307,6,Building,clear_single_semantic
233,483,D483,6,Building,clear_single_semantic
234,349,D349,6,Building,clear_single_semantic
235,274,D274,6,Building,clear_single_semantic
236,231,D231,6,Building,clear_single_semantic
237,194,D194,6,Building,clear_single_semantic
238,261,D261,6,Building,clear_single_semantic
239,54,D054,6,Building,clear_single_semantic
240,314,D314,6,Building,clear_single_semantic
241,325,D325,6,Building,clear_single_semantic
242,192,D192,6,Building,clear_single_semantic
243,35,D035,6,Building,clear_single_semantic
244,428,D428,6,Building,clear_single_semantic
245,165,D165,6,Building,coherent_semantic_mixture
246,359,D359,6,Building,clear_single_semantic
247,128,D128,6,Building,clear_single_semantic
248,445,D445,6,Building,clear_single_semantic
249,386,D386,6,Building,clear_single_semantic
250,112,D112,6,Building,coherent_semantic_mixture
251,389,D389,6,Building,coherent_semantic_mixture
252,51,D051,6,Building,clear_single_semantic
253,338,D338,6,Building,coherent_semantic_mixture
254,392,D392,6,Building,coherent_semantic_mixture
255,138,D138,6,Building,coherent_semantic_mixture
256,360,D360,6,Building,clear_single_semantic
257,5,D005,6,Building,clear_single_semantic
258,193,D193,6,Building,clear_single_semantic
259,332,D332,6,Building,coherent_semantic_mixture
260,178,D178,6,Sky,coherent_semantic_mixture
261,507,D507,6,Sky,coherent_semantic_mixture
262,256,D256,6,Sky,coherent_semantic_mixture
263,108,D108,6,Sky,coherent_semantic_mixture
264,14,D014,6,Sky,coherent_semantic_mixture
265,277,D277,6,Building,coherent_semantic_mixture
266,413,D413,6,Sky,coherent_semantic_mixture
267,169,D169,6,Sky,coherent_semantic_mixture
268,294,D294,6,Sky,clear_single_semantic
269,149,D149,6,Sky,clear_single_semantic
270,319,D319,6,Building,clear_single_semantic
271,212,D212,6,Building,clear_single_semantic
272,191,D191,6,Building,spatial_artifact_candidate
273,65,D065,6,Building,coherent_semantic_mixture
274,234,D234,6,Building,spatial_artifact_candidate
275,114,D114,6,Vegetation,low_mapillary_specificity
276,416,D416,6,Building,coherent_semantic_mixture
277,497,D497,6,Vegetation,coherent_semantic_mixture
278,15,D015,6,Vegetation,coherent_semantic_mixture
279,59,D059,6,Vegetation,coherent_semantic_mixture
280,259,D259,6,Vegetation,clear_single_semantic
281,446,D446,6,Vegetation,clear_single_semantic
282,11,D011,6,Vegetation,coherent_semantic_mixture
283,41,D041,6,Building,coherent_semantic_mixture
284,354,D354,6,Vegetation,coherent_semantic_mixture
285,318,D318,6,Vegetation,coherent_semantic_mixture
286,97,D097,6,Building,coherent_semantic_mixture
287,395,D395,6,Building,coherent_semantic_mixture
288,32,D032,6,Building,clear_single_semantic
289,89,D089,6,Building,clear_single_semantic
290,373,D373,6,Building,clear_single_semantic
291,348,D348,6,Building,clear_single_semantic
292,473,D473,6,Building,clear_single_semantic
293,508,D508,6,Vegetation,coherent_semantic_mixture
294,279,D279,6,Vegetation,spatial_artifact_candidate
295,208,D208,6,Vegetation,coherent_semantic_mixture
296,146,D146,6,Vegetation,low_mapillary_specificity
297,313,D313,6,Vegetation,coherent_semantic_mixture
298,467,D467,6,Building,low_mapillary_specificity
299,133,D133,6,Building,clear_single_semantic
300,214,D214,6,Building,low_mapillary_specificity
301,148,D148,6,Building,low_mapillary_specificity
302,506,D506,6,Building,low_mapillary_specificity
303,224,D224,6,Building,low_mapillary_specificity
304,303,D303,7,Wall,coherent_semantic_mixture
305,45,D045,7,Wall,coherent_semantic_mixture
306,72,D072,7,Wall,low_mapillary_specificity
307,116,D116,7,Wall,low_mapillary_specificity
308,66,D066,7,Building,spatial_artifact_candidate
309,102,D102,7,Fence,spatial_artifact_candidate
310,249,D249,7,Fence,spatial_artifact_candidate
311,85,D085,7,Fence,spatial_artifact_candidate
312,425,D425,7,Wall,coherent_semantic_mixture
313,430,D430,7,Wall,coherent_semantic_mixture
314,351,D351,7,Building,coherent_semantic_mixture
315,154,D154,7,Building,coherent_semantic_mixture
316,293,D293,7,Wall,coherent_semantic_mixture
317,223,D223,7,Building,coherent_semantic_mixture
318,465,D465,7,Building,clear_single_semantic
319,426,D426,7,Building,clear_single_semantic
320,302,D302,7,Building,low_mapillary_specificity
321,219,D219,7,Building,low_mapillary_specificity
322,150,D150,7,Wall,coherent_semantic_mixture
323,453,D453,7,Vegetation,coherent_semantic_mixture
324,468,D468,7,Vegetation,low_mapillary_specificity
325,253,D253,7,Vegetation,clear_single_semantic
326,241,D241,7,Mountain,coherent_semantic_mixture
327,209,D209,8,Bridge,coherent_semantic_mixture
328,444,D444,8,Bridge,clear_single_semantic
329,199,D199,8,Bridge,clear_single_semantic
330,315,D315,8,Bridge,clear_single_semantic
331,160,D160,8,Bridge,coherent_semantic_mixture
332,424,D424,8,Tunnel,low_mapillary_specificity
333,264,D264,8,Building,coherent_semantic_mixture
334,20,D020,8,Building,coherent_semantic_mixture
335,190,D190,8,Building,coherent_semantic_mixture
336,356,D356,8,Bridge,clear_single_semantic
337,55,D055,8,Bridge,coherent_semantic_mixture
338,477,D477,8,Bridge,spatial_artifact_candidate
339,376,D376,8,Bridge,coherent_semantic_mixture
340,402,D402,8,Bridge,coherent_semantic_mixture
341,312,D312,8,Bridge,clear_single_semantic
342,228,D228,8,Bridge,clear_single_semantic
343,182,D182,8,Bridge,clear_single_semantic
344,73,D073,8,Bridge,clear_single_semantic
345,215,D215,8,Bridge,clear_single_semantic
346,459,D459,8,Bridge,clear_single_semantic
347,25,D025,8,Bridge,clear_single_semantic
348,254,D254,8,Bridge,clear_single_semantic
349,393,D393,8,Bridge,coherent_semantic_mixture
350,142,D142,9,Car,low_mapillary_specificity
351,251,D251,9,Car,clear_single_semantic
352,309,D309,9,Car,low_mapillary_specificity
353,204,D204,9,Car,coherent_semantic_mixture
354,16,D016,9,Car,low_mapillary_specificity
355,271,D271,9,Car,clear_single_semantic
356,220,D220,9,Car,clear_single_semantic
357,115,D115,9,Car,clear_single_semantic
358,237,D237,9,Car,clear_single_semantic
359,352,D352,9,Car,clear_single_semantic
360,49,D049,9,Car,clear_single_semantic
361,330,D330,9,Car,clear_single_semantic
362,7,D007,9,Car,clear_single_semantic
363,400,D400,9,Car,clear_single_semantic
364,42,D042,9,Car,clear_single_semantic
365,329,D329,9,Car,clear_single_semantic
366,343,D343,10,Barrier,low_mapillary_specificity
367,326,D326,10,Truck,spatial_artifact_candidate
368,151,D151,10,Truck,low_mapillary_specificity
369,90,D090,10,Truck,spatial_artifact_candidate
370,267,D267,10,Car,low_mapillary_specificity
371,166,D166,10,Building,low_mapillary_specificity
372,18,D018,10,Truck,coherent_semantic_mixture
373,96,D096,10,Truck,coherent_semantic_mixture
374,286,D286,10,Truck,clear_single_semantic
375,435,D435,10,Truck,clear_single_semantic
376,415,D415,10,Truck,clear_single_semantic
377,58,D058,10,Truck,clear_single_semantic
378,374,D374,10,Fence,coherent_semantic_mixture
379,388,D388,11,Truck,low_mapillary_specificity
380,355,D355,12,Building,low_mapillary_specificity
381,372,D372,12,Tunnel,spatial_artifact_candidate
382,153,D153,12,Wall,coherent_semantic_mixture
383,107,D107,12,Wall,low_mapillary_specificity
384,152,D152,12,Barrier,low_mapillary_specificity
385,211,D211,12,Barrier,low_mapillary_specificity
386,370,D370,12,Barrier,low_mapillary_specificity
387,213,D213,12,Barrier,low_mapillary_specificity
388,82,D082,12,Barrier,low_mapillary_specificity
389,248,D248,12,Bridge,low_mapillary_specificity
390,461,D461,12,Road,spatial_artifact_candidate
391,163,D163,12,Road,coherent_semantic_mixture
392,31,D031,12,Road,coherent_semantic_mixture
393,252,D252,13,Guard Rail,spatial_artifact_candidate
394,327,D327,13,Guard Rail,coherent_semantic_mixture
395,454,D454,14,Terrain,coherent_semantic_mixture
396,110,D110,14,Terrain,coherent_semantic_mixture
397,177,D177,15,Sidewalk,spatial_artifact_candidate
398,474,D474,15,Sidewalk,low_mapillary_specificity
399,339,D339,15,Sidewalk,coherent_semantic_mixture
400,227,D227,15,Building,low_mapillary_specificity
401,460,D460,15,Building,spatial_artifact_candidate
402,117,D117,15,Building,low_mapillary_specificity
403,130,D130,15,Building,coherent_semantic_mixture
404,266,D266,15,Building,coherent_semantic_mixture
405,69,D069,15,Building,coherent_semantic_mixture
406,491,D491,15,Road,spatial_artifact_candidate
407,195,D195,15,Building,spatial_artifact_candidate
408,322,D322,15,Road,low_mapillary_specificity
409,239,D239,15,Road,clear_single_semantic
410,46,D046,15,Road,clear_single_semantic
411,109,D109,15,Road,low_mapillary_specificity
412,436,D436,15,Road,clear_single_semantic
413,406,D406,15,Road,coherent_semantic_mixture
414,6,D006,15,Road,clear_single_semantic
415,226,D226,15,Road,clear_single_semantic
416,268,D268,15,Road,low_mapillary_specificity
417,441,D441,15,Road,low_mapillary_specificity
418,490,D490,15,Road,low_mapillary_specificity
419,280,D280,15,Road,low_mapillary_specificity
420,187,D187,15,Road,low_mapillary_specificity
421,291,D291,15,Road,low_mapillary_specificity
422,391,D391,15,Road,low_mapillary_specificity
423,171,D171,15,Road,spatial_artifact_candidate
424,26,D026,15,Road,spatial_artifact_candidate
425,92,D092,15,Road,coherent_semantic_mixture
426,502,D502,15,Road,clear_single_semantic
427,381,D381,15,Road,low_mapillary_specificity
428,431,D431,15,Road,low_mapillary_specificity
429,357,D357,15,Road,low_mapillary_specificity
430,367,D367,15,Road,low_mapillary_specificity
431,101,D101,15,Road,low_mapillary_specificity
432,403,D403,15,Road,coherent_semantic_mixture
433,207,D207,15,Road,coherent_semantic_mixture
434,206,D206,15,Road,coherent_semantic_mixture
435,410,D410,15,Road,clear_single_semantic
436,80,D080,15,Road,clear_single_semantic
437,317,D317,15,Road,clear_single_semantic
438,305,D305,15,Road,clear_single_semantic
439,91,D091,15,Road,clear_single_semantic
440,230,D230,15,Road,clear_single_semantic
441,111,D111,15,Road,clear_single_semantic
442,120,D120,15,Road,clear_single_semantic
443,377,D377,15,Road,clear_single_semantic
444,29,D029,15,Road,clear_single_semantic
445,203,D203,15,Road,clear_single_semantic
446,99,D099,15,Road,clear_single_semantic
447,501,D501,15,Road,clear_single_semantic
448,87,D087,15,Road,clear_single_semantic
449,469,D469,15,Road,clear_single_semantic
450,316,D316,15,Road,clear_single_semantic
451,232,D232,15,Road,clear_single_semantic
452,38,D038,15,Road,clear_single_semantic
453,378,D378,15,Road,clear_single_semantic
454,478,D478,15,Road,clear_single_semantic
455,145,D145,15,Road,clear_single_semantic
456,463,D463,15,Road,clear_single_semantic
457,306,D306,15,Road,clear_single_semantic
458,67,D067,15,Road,clear_single_semantic
459,222,D222,15,Road,clear_single_semantic
460,34,D034,15,Road,clear_single_semantic
461,299,D299,15,Road,clear_single_semantic
462,74,D074,15,Road,clear_single_semantic
463,137,D137,15,Road,clear_single_semantic
464,462,D462,15,Road,clear_single_semantic
465,78,D078,15,Road,clear_single_semantic
466,44,D044,15,Road,clear_single_semantic
467,139,D139,15,Road,clear_single_semantic
468,236,D236,15,Road,clear_single_semantic
469,361,D361,15,Road,clear_single_semantic
470,183,D183,15,Road,clear_single_semantic
471,159,D159,15,Road,clear_single_semantic
472,105,D105,15,Road,clear_single_semantic
473,243,D243,15,Road,clear_single_semantic
474,106,D106,15,Road,clear_single_semantic
475,30,D030,15,Road,clear_single_semantic
476,336,D336,15,Road,clear_single_semantic
477,186,D186,15,Road,clear_single_semantic
478,205,D205,15,Road,clear_single_semantic
479,337,D337,15,Road,clear_single_semantic
480,158,D158,15,Road,clear_single_semantic
481,202,D202,15,Road,clear_single_semantic
482,62,D062,15,Road,clear_single_semantic
483,287,D287,15,Road,clear_single_semantic
484,37,D037,15,Road,clear_single_semantic
485,387,D387,15,Road,low_mapillary_specificity
486,335,D335,15,Road,spatial_artifact_candidate
487,438,D438,15,Road,low_mapillary_specificity
488,272,D272,15,Road,clear_single_semantic
489,328,D328,15,Road,coherent_semantic_mixture
490,218,D218,15,Road,clear_single_semantic
491,200,D200,15,Road,low_mapillary_specificity
492,492,D492,15,Road,low_mapillary_specificity
493,384,D384,15,Road,low_mapillary_specificity
494,442,D442,15,Road,spatial_artifact_candidate
495,323,D323,15,Vegetation,spatial_artifact_candidate
496,358,D358,15,Vegetation,coherent_semantic_mixture
497,81,D081,15,Vegetation,coherent_semantic_mixture
498,260,D260,15,Road,coherent_semantic_mixture
499,409,D409,15,Vegetation,clear_single_semantic
500,452,D452,15,Vegetation,coherent_semantic_mixture
501,155,D155,15,Vegetation,coherent_semantic_mixture
502,244,D244,15,Road,low_mapillary_specificity
503,466,D466,15,Road,clear_single_semantic
504,476,D476,15,Road,clear_single_semantic
505,79,D079,15,Road,clear_single_semantic
506,123,D123,15,Road,coherent_semantic_mixture
507,340,D340,15,Road,coherent_semantic_mixture
508,125,D125,15,Road,low_mapillary_specificity
509,40,D040,15,Road,coherent_semantic_mixture
510,412,D412,16,Road,clear_single_semantic
511,246,D246,16,Motorcycle,clear_single_semantic
